Record Number,ORGANIZATION,CATEGORY,YEAR FOUNDED,COUNTY,LOCATION,MAILING ADDRESS_1,MAILING ADDRESS_2,MAILING ADDRESS_3,EMAIL,TELEPHONE,PHONE / EMAIL,PUBLIC HOURS,PROGRAMS,COLLECTIONS,WEB SITE,SOCIAL MEDIA SITE,LAST MODIFIED
100,6th Cavalry Museum,Museum,,Catoosa,,6 Barnhardt Circle,P. O. Box 2011,"Fort Oglethorpe, GA   30742",,,706-861-2860  /  chris@6thcavalrymuseum.com,Tues. - Sat. 10am - 4pm,,,http://www.6thcavalrymuseum.com/,,2019-Feb-28
101,Acworth Society for Historic Preservation,"Academic Library (Archives or Special Collections), Historical Society, Library (Public, Research, Special, etc.)",1994,Cobb,,P.O. Box  851,"Acworth, GA   30101",,,770-975-1930,,None Specified.,Restoration and preservation of historic sites and structures in the city of Acworth.,,,,2019-Mar-05
103,Albany Museum of Art,Museum,,Dougherty,,311 Meadowlark Drive,P. O. Box 71743,"Albany, GA   31707",,,229-439-8400  /  info@albanymuseum.com,"Tues. - Fri., 10 am - 5 pm; Sat., Noon - 5 pm",,"The Albany Museum of Art has assembled an impressive and growing permanent collection comprised of African, European, and American art. The collection includes 2,400 original works of art with more than 200 works on display at any given time. The Museum houses one of the largest collections of sub-Saharan African art in the Southeastern United States. Holdings include masks, sculpture, pottery, baskets, textiles, jewelry, gold weights, paintings, drawings, photographs, and sculptures.",http://www.albanymuseum.com/,,2019-Mar-02
104,Alexander H. Stephens State Park,"Historic Site (Parks, etc.), Museum",,Tallaferro,456 Alexander Street N W,P. O. Box 310,"Crawfordville, GA   30631",,,,706-456-2602  /  ah_stephens_park@dnr.state.ga.us,"Park: Daily, 7 am – 10 pm;   Historic Site:  Fri. - Sun., 9 am - 5 pm","Preservation of Victorian home of A.H. Stephens, vice president of the Confederacy.",19th century furniture and Confederate museum with a large collection of period artifacts.,http://gastateparks.org/AHStephens,https://www.facebook.com/georgiastateparks/,2019-Feb-28
105,All Saints' Episcopal Church Archives and Library,"Archives, Library (Public, Research, Special, etc.)",1901,Fulton,,634 West Peachtree SW,"Atlanta, GA   30308",,,,404-881-0835  /  pmartin@allsaintsatlanta.org,"Mon. - Fri., 9 am - 5 pm","All Saints' parish dates from 1901, when Mary Jane Peters donated a small parcel of land at the corner of West Peachtree Street and North Avenue to the Diocese of Georgia to be used for church purposes. Two years later, on June 7, 1903, All Saints' Church was founded as the third Episcopal parish in Atlanta, in what was then the northern outskirts of the city.","A century of All Saints' memorabilia is housed in display cabinets in the library. The Archives committee catalogs and maintains the materials, and uses them for periodic topical displays.",http://allsaintsatlanta.org/,https://www.facebook.com/AllSaintsATL,2019-Mar-02
106,Allman Brothers and Band Museum,"Library (Public, Research, Special, etc.), Museum",,Bibb,,P.O. Box 4291,2321 Vineville Avenue,"Macon, GA   31208",,,478-742-7486  /  info@thebighousemuseum.org,Please see web site.,The Museum offers free music lessons and instruments in after-school programs and community settings. Educational tours are available for school groups who want to visit the museum. Band members and other musicians offer seminars and classes for students.  Workshops provide advice for local bands. Performances are held on and off the museum site to showcase outstanding local bands as well as those from throughout the Southeast.,"Historians will have use of the museum's print, video, audio and three-dimensional archival materials.  The Archives contains the worlds largest collection of Allman Brothers Band memorabilia including photos, posters,film footage, audio tapes, records, awards, and instruments.",http://www.thebighousemuseum.org/home.htm,,2019-Feb-28
107,Alma-Bacon County Historical Center,"Historical Society, Museum",1974,Bacon,,406 Mercer,"Alma, GA   31510",,,912-632-8450,,Monthly meetings: 1st Tuesday of month at 2 pm; Research Center: Tues.: 2 pm - 5pm,"Acquisition and preservation of historic and genealogical records; films, exhibits, and publications on the history of Alma and Bacon County; restoration of building for use as a Heritage Center.","19th and 20th century church and genealogical records; 20th century city, county, school, college, and club records, photographs, and oral histories.",,,2019-May-28
108,Alpha Delta Pi Sorority Memorial Headquarters,Society/Association,1851,DeKalb,,"1386 Ponce De Leon Avenue, N.E.","Atlanta, GA   30306",,,,404-378-3164  /  info@alphadeltapi.com,"Mon. - Fri., 8:30 am - 4 pm","Acquisition and preservation of records and artifacts pertaining to the history of the Alpha Delta Pi sorority and its members; exhibits, guided tours, oral history interviews, and quarterly magazine.  Not a public archives.","Membership/business records dating from 1851, National convention memorabilia, photographs and records dating from 1906, early sorority badges, and national quarterly publications dating from 1907.",http://www.alphadeltapi.org,,2019-Mar-02
109,Alpharetta and Old Milton County Historical Society,Historical Society,1979,Fulton,,1835 Old Milton Parkway,"Alpharetta, GA   30009",,,,770-475-4663  /  info@aomchs.org,"Mon., 11 am - 2 pm; Wed. & Fri., 10 am - 2 pm; Also by appointment.","Operates the Mansell House, sponsors special art displays of local artists, monthly membership meetings with programs, Heritage Education programs for schools,  May Day and Christmas celebrations, and special events.","1910 Queen Ann house with appropriate furnishings, a museum room devoted to early Alpharetta history, paintings, artifacts, a small history and genealogy research library,  and a log cabin built in the 1930s with 19th century furnishings and working equipment.",http://aomchs.org/,,2019-Mar-02
110,Altama Museum of Art and History,Museum,1981,Toombs,611 Jackson Street,"Vidalia, GA   30474",,,,,912-537-1911  /  altama@bellsouth.net,"Mon., 10 am - Noon; Thurs., Fri. & Sat., 10 am - 3 pm","Exhibits of fine and decorative art, workshops, concerts, educational activities, and preservation of historic buildings.  4-6 visiting exhibits, annually.  Opening reception Sunday afternoons.  Student Art Show & Children's Art Fest in April, annually (call for current information).","Early 20th century neoclassical house, Brazell House, Victorian furniture,  20th century paintings, porcelain, antique prints, and Southern wood carvings.",https://www.facebook.com/AltamaMuseum/,,2019-Mar-02
112,American Baptist Historical Archive,"Archives, Library (Public, Research, Special, etc.)",1853,DeKalb,"2930 Flowers Rd, South, Suite 150",3001 Mercer University Dr.,"Atlanta, GA   30341",,,,678-547-6680  /  abhsoffice@abhsarchives.org,Mon. - Thurs. 10 am -5 pm; Research by appointment only.,"An archives & research facility founded in 1853 to preserve & share Baptist history. Special event lectures, panel discussions, book signings, receptions and Lunch & Learn presentations.","Materials by, about, & against Baptists from a variety of denominations within the U.S. and around the globe.  Includes the archives of the American Baptist Churches, USA (formerly the Northern Baptist Convention), American Baptist Foreign Mission Society, American Baptist Publication Societies, & American Baptist Home Mission Societies & the Baptist World Alliance. Original church records, books & pamphlets, photographs, & artifacts. Personal papers includes those of ministers and missionaries.",http://www.abhsarchives.org/,https://www.facebook.com/abhsarchives,2019-Mar-05
