System,Facility,Address,Phone
Independent municipal library,Fairmount City Library,"150 North Avenue Fairmount, GA 30139",(706) 337-3110
Independent municipal library,Newnan Carnegie,"1 LaGrange Street Newnan, GA 30263",770-683-1347
Independent municipal library,Sayers Memorial Library,"6870 Wold Avenue, Bldg. 93 Fort Benning, GA 31905",706-545-4911
Independent municipal library,Smyrna Public Library,"100 Village Green Circle Smyrna, GA 30080",(770) 431-2860
Athens Regional Library System,Athens-Clarke County Library,"2025 Baxter Street Athens, GA 30606",706-613-3650
Athens Regional Library System,Bogart Branch Library,"200 South Burson Avenue Bogart, GA 30622",770-725-9443
Athens Regional Library System,East Athens Community Resource Center,"400 McKinley Drive Athens, GA 30601",706-613-3657
Athens Regional Library System,Lavonia-Carnegie Library,"28 Hartwell Road Lavonia, GA 30553",706-356-4307
Athens Regional Library System,Lay Park Community Resource Center,"297 Hoyt Street Athens, GA 30601",706-613-3667
Athens Regional Library System,Madison County Library,"1315 Highway 98 West Danielsville, GA 30633",706-795-5597
Athens Regional Library System,Oconee County Library,"1080 Experiment Station Road Watkinsville, GA 30677",706-769-3950
Athens Regional Library System,Oglethorpe County Library,"858 Athens Road Lexington, GA 30648",706-743-8817
Athens Regional Library System,Pinewoods Branch,"1465 US Hwy 29, North Lot G-10 Athens, GA 30601",706-613-3708
Athens Regional Library System,Royston Branch Library,"634 Franklin Springs Street Royston, GA 30662",706-245-6748
Athens Regional Library System,Winterville Branch Library,"115 Marigold Lane Winterville, GA 30683",706-742-7735
Atlanta-Fulton Public Library System,Adams Park Branch,"2231 Campbellton Road SW Atlanta, GA 30311",404-752-8763
Atlanta-Fulton Public Library System,Adamsville-Collier Heights Branch,"3424 Martin Luther King Jr. Drive Atlanta, GA 30331",404-699-4206
Atlanta-Fulton Public Library System,Alpharetta Library,"10 Park Plaza Alpharetta, GA 30009",404-613-6735
Atlanta-Fulton Public Library System,Auburn Avenue Research Library,"101 Auburn Avenue NE Atlanta, GA 30303",404-730-4001
Atlanta-Fulton Public Library System,Buckhead Branch,"269 Buckhead Avenue NE Atlanta, GA 30305",404-814-3500
Atlanta-Fulton Public Library System,Central Library (Atlanta-Fulton PLS),"One Margaret Mitchell Square Atlanta, GA 30303",404-730-1700
Atlanta-Fulton Public Library System,Cleveland Avenue Branch,"47 Cleveland Avenue SW Atlanta, GA 30315",404-762-4116
Atlanta-Fulton Public Library System,College Park Branch,"3647 Main Street College Park, GA 30337",404-762-4060
Atlanta-Fulton Public Library System,Dogwood Branch,"1838 Donald Lee Hollowell Parkway NW Atlanta, GA 30318",404-792-4961
Atlanta-Fulton Public Library System,East Atlanta Branch,"400 Flat Shoals Avenue SE Atlanta, GA 30316",404-730-5438
Atlanta-Fulton Public Library System,East Point Branch,"2757 Main Street East Point, GA 30344",404-762-4842
Atlanta-Fulton Public Library System,East Roswell Branch,"2301 Holcomb Bridge Road Roswell, GA 30076",404-613-4050
Atlanta-Fulton Public Library System,Fairburn Branch,"60 Valley View Drive Fairburn, GA 30213",770-306-3138
Atlanta-Fulton Public Library System,Hapeville Branch,"525 King Arnold Street Hapeville, GA 30354",404-762-4065
Atlanta-Fulton Public Library System,Kirkwood Branch,"11 Kirkwood Road SE Atlanta, GA 30317",404-377-6471
