Code,organization_label (en),REF URL organization_label (en),RET DAT organization_label (en),description (en),alias (en),instance of (P31),REF URL instance of (P31),RET DAT instance of (P31),located at street address (P6375),REF URL located at street address (P6375),RET DAT located at street address (P6375),city (P131),REF URL city (P131),RET DAT city (P131),county (P131),REF URL county (P131),RET DAT county (P131),state (P131),REF URL state (P131),RET DAT state (P131),country (P17),REF URL country (P17),RET DAT country (P17),coordinate location (P625),REF URL coordinate location (P625),RET DAT coordinate location (P625),phone number (P1329),REF URL phone number (P1329),RET DAT phone number (P1329),email address (P968),REF URL email address (P968),RET DAT email address (P968),official website (P856),REF URL official website (P856),RET DAT official website (P856),inception (P571),REF URL inception (P571),RET DAT inception (P571),"dissolved, abolished or demolished (P576)","REF URL dissolved, abolished or demolished (P576)","RET DAT dissolved, abolished or demolished (P576)",parent organization (P749),REF URL parent organization (P749),RET DAT parent organization (P749),subsidiaries (P355),REF URL subsidiaries (P355),RET DAT subsidiaries (P355),PO Box (P2918),REF URL PO Box (P2918),RET DAT PO Box (P2918),Postal Code (P281),REF URL Postal Code (P281),RET DAT Postal Code (P281),Facebook ID (P2013),REF URL Facebook ID (P2013),RET DAT Facebook ID (P2013)," Source Notes"," Internal Notes",QC
1161,James Pendergrast Memorial Library,https://www.asurams.edu/academic-affairs/library/index.php,2020-03-16,"academic library at Albany State University, Albany, Georgia, USA",,academic library,https://web.archive.org/web/20200316182609/https://www.asurams.edu/academic-affairs/library/,2020-03-16,"504 College Drive, Albany, GA 31705",https://web.archive.org/web/20200316182609/https://www.asurams.edu/academic-affairs/library/,2020-03-16,Albany,https://web.archive.org/web/20200316182609/https://www.asurams.edu/academic-affairs/library/,2020-03-16,Dougherty County,https://www.mapdevelopers.com/what-county-am-i-in.php,2020-03-16,Georgia,https://web.archive.org/web/20200316182609/https://www.asurams.edu/academic-affairs/library/,2020-03-16,United States of America,https://web.archive.org/web/20200316182609/https://www.asurams.edu/academic-affairs/library/,2020-03-16,"31.569286, -84.141929","https://www.google.com/maps/place/James+Pendergrast+Memorial+Library/@31.5692761,-84.1424943,19z",2020-03-16,"+1-229-500-3472 ",https://web.archive.org/web/20200316182609/https://www.asurams.edu/academic-affairs/library/,2020-03-16,mailto:circulation@asurams.edu,https://web.archive.org/web/20200316182609/https://www.asurams.edu/academic-affairs/library/,2020-03-16,https://www.asurams.edu/academic-affairs/library/index.php,https://web.archive.org/web/20200316182609/https://www.asurams.edu/academic-affairs/library/,2020-03-16,,,,"","","",Albany State University,https://web.archive.org/web/20200316185732/https://www.asurams.edu/,2020-03-16,,,,,,,,,,,,,"","",
1162,Harold B. Wetherbee Library,https://www.asurams.edu/academic-affairs/library/index.php,2020-03-16,"academic library at Albany State University, Albany, Georgia, USA",,academic library,https://web.archive.org/web/20200316182609/https://www.asurams.edu/academic-affairs/library/,2020-03-16,"2400 Gillionville Road, Albany, GA 31707",https://web.archive.org/web/20200316182609/https://www.asurams.edu/academic-affairs/library/,2020-03-16,Albany,https://web.archive.org/web/20200316182609/https://www.asurams.edu/academic-affairs/library/,2020-03-16,Dougherty County,https://www.mapdevelopers.com/what-county-am-i-in.php,2020-03-16,Georgia,https://web.archive.org/web/20200316182609/https://www.asurams.edu/academic-affairs/library/,2020-03-16,United States of America,https://web.archive.org/web/20200316182609/https://www.asurams.edu/academic-affairs/library/,2020-03-16,"31.584076, -84.212827","https://www.google.com/maps/place/Harold+B.+Wetherbee+Library/@31.5840686,-84.213397,19z",2020-03-16,"+1-229-500-3613 ",https://web.archive.org/web/20200316182609/https://www.asurams.edu/academic-affairs/library/,2020-03-16,mailto:circulation@asurams.edu,https://web.archive.org/web/20200316182609/https://www.asurams.edu/academic-affairs/library/,2020-03-16,https://www.asurams.edu/academic-affairs/library/index.php,https://web.archive.org/web/20200316182609/https://www.asurams.edu/academic-affairs/library/,2020-03-16,,,,"","","",Albany State University,https://web.archive.org/web/20200316185732/https://www.asurams.edu/,2020-03-16,,,,,,,,,,,,,"","",
1163,Reese Library,https://www.augusta.edu/library/reese/,2020-03-16,"academic library at Augusta University, Augusta, Georgia, USA",,academic library,https://web.archive.org/web/20200316191401/https://www.augusta.edu/library/reese/,2020-03-16,"2500 Walton Way, Augusta, GA 30904",https://web.archive.org/web/20200316191939/https://www.augusta.edu/library/reese/about/directions.php,2020-03-16,Augusta,https://web.archive.org/web/20200316191401/https://www.augusta.edu/library/reese/,2020-03-16,Richmond County,https://www.mapdevelopers.com/what-county-am-i-in.php,2020-03-16,Georgia,https://web.archive.org/web/20200316191401/https://www.augusta.edu/library/reese/,2020-03-16,United States of America,https://web.archive.org/web/20200316191401/https://www.augusta.edu/library/reese/,2020-03-16,"33.476434, -82.022061","https://www.google.com/maps/place/Reese+Library/@33.476431,-82.022159,21z",2020-03-16,+1-706-667-4906,https://web.archive.org/web/20200316191401/https://www.augusta.edu/library/reese/,2020-03-16,mailto:reference@augusta.edu,https://web.archive.org/web/20200316191401/https://www.augusta.edu/library/reese/,2020-03-16,https://www.augusta.edu/library/reese/,https://web.archive.org/web/20200316191401/https://www.augusta.edu/library/reese/,2020-03-16,,,,"","","",Augusta University,https://web.archive.org/web/20200316203952/https://www.augusta.edu/,2020-03-16,,,,,,,,,,,,,"","",
1164,"Robert B. Greenblatt, M.D. Library",https://www.augusta.edu/library/greenblatt/,2020-03-16,"academic library at Augusta University, Augusta, Georgia, USA",,academic library,https://web.archive.org/web/20200316192431/https://www.augusta.edu/library/greenblatt/,2020-03-16,"1439 Laney-Walker Boulevard, Augusta, GA 30912",https://web.archive.org/web/20200316192741/https://www.augusta.edu/library/greenblatt/about/directions/,2020-03-16,Augusta,https://web.archive.org/web/20200316192431/https://www.augusta.edu/library/greenblatt/,2020-03-16,Richmond County,https://www.mapdevelopers.com/what-county-am-i-in.php,2020-03-16,Georgia,https://web.archive.org/web/20200316192431/https://www.augusta.edu/library/greenblatt/,2020-03-16,United States of America,https://web.archive.org/web/20200316192431/https://www.augusta.edu/library/greenblatt/,2020-03-16,"33.469212, -81.987510","https://www.google.com/maps/place/Robert+B.Greenblatt,+M.+D.+Library/@33.4692002,-81.9876427,21z",2020-03-16,+1-706-721-3441,https://web.archive.org/web/20200316192431/https://www.augusta.edu/library/greenblatt/,2020-03-16,mailto:libref@augusta.edu,https://web.archive.org/web/20200316192431/https://www.augusta.edu/library/greenblatt/,2020-03-16,https://www.augusta.edu/library/greenblatt/,https://web.archive.org/web/20200316192431/https://www.augusta.edu/library/greenblatt/,2020-03-16,,,,"","","",Augusta University,https://web.archive.org/web/20200316203952/https://www.augusta.edu/,2020-03-16,,,,,,,,,,,,,"","",
1165,Clayton State University Library,https://www.clayton.edu/library/,2020-03-16,"academic library at Clayton State University, Morrow, Georgia, USA",,academic library,https://web.archive.org/web/20200317133311/https://www.clayton.edu/library/,2020-03-17,"2000 Clayton State Boulevard, Morrow, GA 30260",https://web.archive.org/web/20200317133723/https://www.clayton.edu/library/Contact-Us/,2020-03-17,Morrow,https://web.archive.org/web/20200317133723/https://www.clayton.edu/library/Contact-Us/,2020-03-17,Clayton County,https://www.mapdevelopers.com/what-county-am-i-in.php,2020-03-17,Georgia,https://web.archive.org/web/20200317133311/https://www.clayton.edu/library/,2020-03-17,United States of America,https://web.archive.org/web/20200317133311/https://www.clayton.edu/library/,2020-03-17,"33.594338, -84.328249","https://www.google.com/maps/place/James+M.+Baker+University+Center/@33.5942685,-84.328407,19.92z",2020-03-17,+1-678-466-4325,https://web.archive.org/web/20200317133723/https://www.clayton.edu/library/Contact-Us/,2020-03-17,mailto:SonyaGaither@clayton.edu,https://web.archive.org/web/20200317134005/https://www.clayton.edu/library/staffdirectory/,2020-03-17,https://www.clayton.edu/library/,https://web.archive.org/web/20200317133311/https://www.clayton.edu/library/,2020-03-17,,,,"","","",Clayton State University,https://web.archive.org/web/20200317134018/https://www.clayton.edu/,2020-03-17,,,,,,,,,,,,,"","",
1166,Clara Wood Gould Memorial Library,http://libguides.coastalpines.edu/libraryservices/camden,2020-03-16,"academic library at College of Coastal Georgia, Brunswick, Georgia, USA",,academic library,https://web.archive.org/web/20200317134712/http://libguides.coastalpines.edu/libraryservices/camden,2020-03-17,"1 College Drive, Brunswick, GA 31520",https://web.archive.org/web/20200317134712/http://libguides.coastalpines.edu/libraryservices/camden,2020-03-17,Brunswick,https://web.archive.org/web/20200317134712/http://libguides.coastalpines.edu/libraryservices/camden,2020-03-17,Glynn County,https://www.mapdevelopers.com/what-county-am-i-in.php,2020-03-17,Georgia,https://web.archive.org/web/20200317134712/http://libguides.coastalpines.edu/libraryservices/camden,2020-03-17,United States of America,https://web.archive.org/web/20200317134712/http://libguides.coastalpines.edu/libraryservices/camden,2020-03-17,"31.181984, -81.486166","https://www.google.com/maps/place/Library/@31.1819319,-81.4861974,21z",2020-03-17,+1-912-279-5874,https://web.archive.org/web/20200317134712/http://libguides.coastalpines.edu/libraryservices/camden,2020-03-17,,,,http://libguides.coastalpines.edu/libraryservices/camden,https://web.archive.org/web/20200317134712/http://libguides.coastalpines.edu/libraryservices/camden,2020-03-17,,,,"","","",Coastal Pines Technical College,https://web.archive.org/web/20200317135058/http://www.coastalpines.edu/,2020-03-17,,,,,,,,,,,,,"","",
1167,Camden Center Library,http://libguides.coastalpines.edu/libraryservices/camden,2020-03-16,"academic library at College of Coastal Georgia, Kingsland, Georgia, USA",,academic library,https://web.archive.org/web/20200317134712/http://libguides.coastalpines.edu/libraryservices/camden,2020-03-17,"8001 Lakes Boulevard, Kingsland, GA 31548",https://web.archive.org/web/20200317134712/http://libguides.coastalpines.edu/libraryservices/camden,2020-03-17,Kingsland,https://web.archive.org/web/20200317134712/http://libguides.coastalpines.edu/libraryservices/camden,2020-03-17,Camden County,https://www.mapdevelopers.com/what-county-am-i-in.php,2020-03-17,Georgia,https://web.archive.org/web/20200317134712/http://libguides.coastalpines.edu/libraryservices/camden,2020-03-17,United States of America,https://web.archive.org/web/20200317134712/http://libguides.coastalpines.edu/libraryservices/camden,2020-03-17,"30.806281, -81.654348","https://www.google.com/maps/place/Coastal+Pines+Technical+College/@30.806273,-81.6548952,19z",2020-03-17,+1-912-510-3331,https://web.archive.org/web/20200317134712/http://libguides.coastalpines.edu/libraryservices/camden,2020-03-17,,,,http://libguides.coastalpines.edu/libraryservices/camden,https://web.archive.org/web/20200317134712/http://libguides.coastalpines.edu/libraryservices/camden,2020-03-17,,,,"","","",Coastal Pines Technical College,https://web.archive.org/web/20200317135058/http://www.coastalpines.edu/,2020-03-17,,,,,,,,,,,,,"","",
1168,Simon Schwob Memorial Library,https://library.columbusstate.edu/,2020-03-16,"academic library at Columbus State University, Columbus, Georgia, USA",,academic library,https://web.archive.org/web/20200317140411/https://library.columbusstate.edu/,2020-03-17,"4225 University Avenue, Columbus, GA 31907",https://web.archive.org/web/20200317140718/https://library.columbusstate.edu/about_us/directions.php,2020-03-17,Columbus,https://web.archive.org/web/20200317140411/https://library.columbusstate.edu/,2020-03-17,Muscogee County,https://www.mapdevelopers.com/what-county-am-i-in.php,2020-03-17,Georgia,https://web.archive.org/web/20200317140411/https://library.columbusstate.edu/,2020-03-17,United States of America,https://web.archive.org/web/20200317140411/https://library.columbusstate.edu/,2020-03-17,"32.500952, -84.941043","https://www.google.com/maps/place/Simon+Schwob+Memorial+Library/@32.5009157,-84.9412203,21z",2020-03-17,+1-706-507-8670,https://web.archive.org/web/20200317140411/https://library.columbusstate.edu/,2020-03-17,,,,https://library.columbusstate.edu/,https://web.archive.org/web/20200317140411/https://library.columbusstate.edu/,2020-03-17,,,,"","","",Columbus State University,https://web.archive.org/web/20200317141152/https://www.columbusstate.edu/,2020-03-17,,,,,,,,,,,,,"","",
1169,Columbus State University Music Library,https://musiclibrary.columbusstate.edu/,2020-03-16,"academic music library at Columbus State University, Columbus, Georgia, USA",,academic music library,https://web.archive.org/web/20200317141354/https://musiclibrary.columbusstate.edu/,2020-03-17,"900 Broadway, Columbus, GA 31901",https://web.archive.org/web/20200317141354/https://musiclibrary.columbusstate.edu/,2020-03-17,Columbus,https://web.archive.org/web/20200317141354/https://musiclibrary.columbusstate.edu/,2020-03-17,Muscogee County,https://www.mapdevelopers.com/what-county-am-i-in.php,2020-03-17,Georgia,https://web.archive.org/web/20200317141354/https://musiclibrary.columbusstate.edu/,2020-03-17,United States of America,https://web.archive.org/web/20200317141354/https://musiclibrary.columbusstate.edu/,2020-03-17,"32.463317, -84.992419","https://www.google.com/maps/place/Schwob+School+of+Music/@32.4632244,-84.9924201,21z",2020-03-17,+1-706-641-5045,https://web.archive.org/web/20200317141354/https://musiclibrary.columbusstate.edu/,2020-03-17,mailto:moore_judith@columbusstate.edu,https://web.archive.org/web/20200317141544/https://musiclibrary.columbusstate.edu/about_us/staff.php,2020-03-17,https://musiclibrary.columbusstate.edu/,https://web.archive.org/web/20200317141354/https://musiclibrary.columbusstate.edu/,2020-03-17,,,,"","","",Columbus State University,https://web.archive.org/web/20200317141152/https://www.columbusstate.edu/,2020-03-17,,,,,,,,,,,,,"","",
1170,Derrell C. Roberts Library,https://www.daltonstate.edu/library/about-roberts-library.cms,2020-03-16,"academic library at Dalton State College, Dalton, Georgia, USA",,academic library,https://web.archive.org/web/20200317143048/https://www.daltonstate.edu/library/about-roberts-library.cms,2020-03-17,"650 College Drive, Dalton, GA 30720",https://web.archive.org/web/20200317143048/https://www.daltonstate.edu/library/about-roberts-library.cms,2020-03-17,Dalton,https://web.archive.org/web/20200317143048/https://www.daltonstate.edu/library/about-roberts-library.cms,2020-03-17,Whitfield County,https://www.mapdevelopers.com/what-county-am-i-in.php,2020-03-17,Georgia,https://web.archive.org/web/20200317143048/https://www.daltonstate.edu/library/about-roberts-library.cms,2020-03-17,United States of America,https://web.archive.org/web/20200317143048/https://www.daltonstate.edu/library/about-roberts-library.cms,2020-03-17,"34.774201, -85.002711","https://www.google.com/maps/place/Dalton+State+College+Library/@34.7741834,-85.0028125,21z",2020-03-17,+1-706-272-4583,https://web.archive.org/web/20200317143048/https://www.daltonstate.edu/library/about-roberts-library.cms,2020-03-17,,,,https://www.daltonstate.edu/library/about-roberts-library.cms,https://web.archive.org/web/20200317143048/https://www.daltonstate.edu/library/about-roberts-library.cms,2020-03-17,,,,"","","",Dalton State College,https://web.archive.org/web/20200317143350/https://www.daltonstate.edu/,2020-03-17,,,,,,,,,,,,,"","",
