Code,organization_label (en),REF URL organization_label (en),RET DAT organization_label (en),description (en),alias (en),instance of (P31),REF URL instance of (P31),RET DAT instance of (P31),located at street address (P6375),REF URL located at street address (P6375),RET DAT located at street address (P6375),city (P131),REF URL city (P131),RET DAT city (P131),county (P131),REF URL county (P131),RET DAT county (P131),state (P131),REF URL state (P131),RET DAT state (P131),country (P17),REF URL country (P17),RET DAT country (P17),coordinate location (P625),REF URL coordinate location (P625),RET DAT coordinate location (P625),phone number (P1329),REF URL phone number (P1329),RET DAT phone number (P1329),email address (P968),REF URL email address (P968),RET DAT email address (P968),official website (P856),REF URL official website (P856),RET DAT official website (P856),inception (P571),REF URL inception (P571),RET DAT inception (P571),"dissolved, abolished or demolished (P576)","REF URL dissolved, abolished or demolished (P576)","RET DAT dissolved, abolished or demolished (P576)",parent organization (P749),REF URL parent organization (P749),RET DAT parent organization (P749),subsidiaries (P355),REF URL subsidiaries (P355),RET DAT subsidiaries (P355),PO Box (P2918),REF URL PO Box (P2918),RET DAT PO Box (P2918),Postal Code (P281),REF URL Postal Code (P281),RET DAT Postal Code (P281),Facebook ID (P2013),REF URL Facebook ID (P2013),RET DAT Facebook ID (P2013)," Source Notes"," Internal Notes",QC
,7 Stages,,,"located in Atlanta, Georgia, USA",,,,,"1105 Euclid Ave NE, Atlanta, GA 30307",,,Atlanta,,,Fulton County,https://www.geocod.io/,2020-04-14,Georgia,,,United States of America,,,,,,,,,,,,https://www.7stages.org/,,,,,,"","","",,,,,,,,,,30307,,,,,,,,
,Atlanta Chamber Players,,,"located in Atlanta, Georgia, USA",,,,,"PO Box 20013, Atlanta, GA 30325",,,Atlanta,,,Fulton County,https://www.geocod.io/,2020-04-14,Georgia,,,United States of America,,,,,,,,,,,,https://www.atlantachamberplayers.com/,,,,,,"","","",,,,,,,,,,30325,,,,,,,,
,Booth Western Art Museum,,,"located in Cartersville, Georgia, USA",,,,,"501 N Museum Dr, Cartersville, GA 30120",,,Cartersville,,,Bartow County,https://www.geocod.io/,2020-04-14,Georgia,,,United States of America,,,,,,,,,,,,https://boothmuseum.org/,,,,,,"","","",,,,,,,,,,30120,,,,,,,,
,Carrollton Cultural Center,,,"located in Carrollton, Georgia, USA",,,,,"251 Alabama St, Carrollton, GA 30117",,,Carrollton,,,Carroll County,https://www.geocod.io/,2020-04-14,Georgia,,,United States of America,,,,,,,,,,,,https://carrolltonarts.com/,,,,,,"","","",,,,,,,,,,30117,,,,,,,,
,Center for Puppetry Arts,,,"located in Atlanta, Georgia, USA",,,,,"1404 Spring St NW, Atlanta, GA 30309",,,Atlanta,,,Fulton County,https://www.geocod.io/,2020-04-14,Georgia,,,United States of America,,,,,,,,,,,,http://www.puppet.org/,,,,,,"","","",,,,,,,,,,30309,,,,,,,,
,Conyers Rockdale Council for the Arts,,,"located in Conyers, Georgia, USA",,,,,"910 Center St NE, Conyers, GA 30012",,,Conyers,,,Rockdale County,https://www.geocod.io/,2020-04-14,Georgia,,,United States of America,,,,,,,,,,,,https://conyersarts.org/,,,,,,"","","",,,,,,,,,,30012,,,,,,,,
,Dalton State College,,,"located in Dalton, Georgia, USA",,,,,"650 College Dr., Dalton, GA 30720",,,Dalton,,,Whitfield County,https://www.geocod.io/,2020-04-14,Georgia,,,United States of America,,,,,,,,,,,,https://www.daltonstate.edu/,,,,,,"","","",,,,,,,,,,30720,,,,,,,,
,Fulton County Arts Council,,,"located in Atlanta, Georgia, USA",,,,,"503 Peeples St SW, Atlanta, GA 30310",,,Atlanta,,,Fulton County,https://www.geocod.io/,2020-04-14,Georgia,,,United States of America,,,,,,,,,,,,http://fultonarts.org/,,,,,,"","","",,,,,,,,,,30310,,,,,,,,
,Georgia Southern University,,,"located in Statesboro, Georgia, USA",,,,,"1332 Southern Drive, Statesboro, GA 30460",,,Statesboro,,,Bulloch County,https://www.geocod.io/,2020-04-14,Georgia,,,United States of America,,,,,,,,,,,,https://www.georgiasouthern.edu/,,,,,,"","","",,,,,,,,,,30460,,,,,,,,
,Georgia Symphony Orchestra,,,"located in Marietta, Georgia, USA",,,,,"1171 Whitlock Ave NW, Marietta, GA 30061",,,Marietta,,,Cobb County,https://www.geocod.io/,2020-04-14,Georgia,,,United States of America,,,,,,,,,,,,https://www.georgiasymphony.org/,,,,,,"","","",,,,,,,,,,30061,,,,,,,,
,RiverCenter for the Performing Arts,,,"located in Columbus, Georgia, USA",,,,,"900 Broadway, COLUMBUS, GA 31901",,,Columbus,,,Muscogee County,https://www.geocod.io/,2020-04-14,Georgia,,,United States of America,,,,,,,,,,,,https://rivercenter.org/,,,,,,"","","",,,,,,,,,,31901,,,,,,,,
,Savannah Music Festival,,,"located in Savannah, Georgia, USA",,,,,"216 East Broughton Street, Savannah, GA 31401",,,Savannah,,,Chatham County,https://www.geocod.io/,2020-04-14,Georgia,,,United States of America,,,,,,,,,,,,https://www.savannahmusicfestival.org/,,,,,,"","","",,,,,,,,,,31401,,,,,,,,
,Shepherd Center,,,"located in Atlanta, Georgia, USA",,,,,"2020 Peachtreet St NW, Atlanta, GA 30309",,,Atlanta,,,Fulton County,https://www.geocod.io/,2020-04-14,Georgia,,,United States of America,,,,,,,,,,,,https://www.shepherd.org/,,,,,,"","","",,,,,,,,,,30309,,,,,,,,
,South Arts,,,"located in Atlanta, Georgia, USA",,,,,"1800 Peachtree St NW #808, Atlanta, GA 30309",,,Atlanta,,,Fulton County,https://www.geocod.io/,2020-04-14,Georgia,,,United States of America,,,,,,,,,,,,https://www.southarts.org/,,,,,,"","","",,,,,,,,,,30309,,,,,,,,
,The Woodruff Arts Center,,,"located in Atlanta, Georgia, USA",,,,,"1280 Peachtree St NE, Atlanta, GA 30309",,,Atlanta,,,Fulton County,https://www.geocod.io/,2020-04-14,Georgia,,,United States of America,,,,,,,,,,,,https://www.woodruffcenter.org/,,,,,,"","","",,,,,,,,,,30309,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,,,,,,,,,
