Code,organization_label (en),REF URL organization_label (en),RET DAT organization_label (en),description (en),alias (en),instance of (P31),REF URL instance of (P31),RET DAT instance of (P31),located at street address (P6375),REF URL located at street address (P6375),RET DAT located at street address (P6375),city (P131),REF URL city (P131),RET DAT city (P131),county (P131),REF URL county (P131),RET DAT county (P131),state (P131),REF URL state (P131),RET DAT state (P131),country (P17),REF URL country (P17),RET DAT country (P17),coordinate location (P625),REF URL coordinate location (P625),RET DAT coordinate location (P625),phone number (P1329),REF URL phone number (P1329),RET DAT phone number (P1329),email address (P968),REF URL email address (P968),RET DAT email address (P968),official website (P856),REF URL official website (P856),RET DAT official website (P856),inception (P571),REF URL inception (P571),RET DAT inception (P571),"dissolved, abolished or demolished (P576)","REF URL dissolved, abolished or demolished (P576)","RET DAT dissolved, abolished or demolished (P576)",parent organization (P749),REF URL parent organization (P749),RET DAT parent organization (P749),subsidiaries (P355),REF URL subsidiaries (P355),RET DAT subsidiaries (P355),PO Box (P2918),REF URL PO Box (P2918),RET DAT PO Box (P2918),Postal Code (P281),REF URL Postal Code (P281),RET DAT Postal Code (P281),Facebook ID (P2013),REF URL Facebook ID (P2013),RET DAT Facebook ID (P2013),"Source Notes","Internal Notes",QC
0559,Acworth Society for Historic Preservation,https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,,,,,,,,,,,,Cobb County,https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,Georgia,https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,United States of America,https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,,,,,,,,,,,,,,,,"","","",,,,,,,,,,,,,,,,"Verified by phone organization is dissolved. No year of dissolvement","",2020-03-30 CL
0560,Alexander H. Stephens State Park,https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,"heritage site in Crawfordville, Georgia, USA",,heritage site,https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,"456 Alexander Street NW, Crawfordville, GA 30631",https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,Crawfordville,https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,Taliaferro County,https://web.archive.org/web/20191119174611/https://gastateparks.org/AHStephens,2019-11-19,Georgia,https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,United States of America,https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,"33.5634830, -82.8971560",https://web.archive.org/web/20191119174611/https://gastateparks.org/AHStephens,2019-11-19,+1-706-456-2602,https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,,,,http://gastateparks.org/AHStephens,https://web.archive.org/web/20191119174611/https://gastateparks.org/AHStephens,2019-11-19,,,,"","","",,,,,,,,,,,,,,,,"","",2020-03-30 CL
0561,All Saints' Episcopal Church Archives and Library,https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,"library in Atlanta, Georgia, USA",,library,https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,"634 West Peachtree SW, Atlanta, GA 30308",https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,Atlanta,https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,Fulton County,https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,Georgia,https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,United States of America,https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,"33.772057, -84.385077","https://www.google.com/maps/place/All+Saints'+Episcopal+Church/@33.7714965,-84.3883734,19z/",2020-02-20,+1-404-881-0835,https://web.archive.org/web/20191119180215/https://allsaintsatlanta.org/,2019-11-19,,,,http://allsaintsatlanta.org/,https://web.archive.org/web/20191119180215/https://allsaintsatlanta.org/,2019-11-19,1901,https://web.archive.org/web/20191119180724/https://allsaintsatlanta.org/who-we-are/history/,2019-11-19,"","","",,,,,,,,,,,,,AllSaintsATL,https://web.archive.org/web/20191119180834/https://www.facebook.com/AllSaintsATL,2019-11-19,"","",2020-03-30 CL
0562,Alma-Bacon County Historical Center,https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,,,,https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,"406 Mercer, Alma, GA 31510",https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,Alma,https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,Bacon County,https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,Georgia,https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,United States of America,https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,"31.545897, -82.467752","https://www.google.com/maps/place/406+Mercer+St,+Alma,+GA+31510/@31.545875,-82.4683131,19z",2020-02-20,+1-912-632-8450,https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,,,,,,,,,,"","","",,,,,,,,,,,,,,,,"No information on organization available","",2020-03-30 CL
0563,Alpha Delta Pi Sorority Memorial Headquarters,https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,"organization in Atlanta, Georgia, USA",,organization,https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,"1386 Ponce De Leon Avenue NE, Atlanta, GA 30306",https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,Atlanta,https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,DeKalb County,https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,Georgia,https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,United States of America,https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,"33.775631, -84.342008","https://www.google.com/maps/place/Alpha+Delta+Pi/@33.7756149,-84.3425393,19z/",2020-02-20,+1-404-378-3164,https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,mailto:info@alphadeltapi.com,https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,http://www.alphadeltapi.org,https://web.archive.org/web/20191119185755/https://www.alphadeltapi.org/,2019-11-19,1851,https://web.archive.org/web/20191119190019/https://www.alphadeltapi.org/page/history/,2019-11-19,"","","",,,,,,,,,,,,,,,,"","",2020-03-30 CL
0564,Alpharetta and Old Milton County Historical Society,https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,"historical society in Alpharetta, Georgia, USA",,historical society,https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,"1835 Old Milton Parkway, Alpharetta, GA 30009",https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,Alpharetta,https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,Fulton County,https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,Georgia,https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,United States of America,https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,"34.072357, -84.304843","https://www.google.com/maps/place/1835+Old+Milton+Pkwy,+Alpharetta,+GA+30009/@34.0723844,-84.3053972,19z",2020-02-20,+1-770-475-4663,https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,mailto:info@aomchs.org,https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,http://aomchs.org/,https://web.archive.org/web/20191119190446/https://aomchs.org/,2019-11-19,1979,https://web.archive.org/web/20191119190446/https://aomchs.org/,2019-11-19,"","","",,,,,,,,,,,,,,,,"","",2020-03-30 CL
0565,Altama Museum of Art and History,https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,"museum in Vidalia, Georgia, USA",,museum,https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,"611 Jackson Street, Vidalia, GA 30474",https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,Vidalia,https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,Toombs County,https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,Georgia,https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,United States of America,https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,"32.211603, -82.415448",https://www.geocod.io/,2020-02-20,+1-912-537-1911,https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,mailto:altama@bellsouth.net,https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,http://vidaliaarea.com/area-attractions/,https://web.archive.org/web/20191119190702/http://vidaliaarea.com/area-attractions/,2019-11-19,1911,https://web.archive.org/web/20191119190702/http://vidaliaarea.com/area-attractions/,2019-11-19,"","","",,,,,,,,,,,,,AltamaMuseum,https://web.archive.org/web/20191119191105/https://www.facebook.com/AltamaMuseum/,2019-11-19,"","",2020-03-30 CL
0566,American Baptist Historical Archive,https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,"archives in Atlanta, Georgia, USA",,archives,https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,"2930 Flowers Road South, Suite 150, Atlanta, GA 30341",https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,Atlanta,https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,DeKalb County,https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,Georgia,https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,United States of America,https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,"33.873816, -84.266347",https://www.geocod.io/,2020-02-20,+1-678-547-6680,https://web.archive.org/web/20191119192511/http://abhsarchives.org/about/contact/,2019-11-19,mailto:abhsoffice@abhsarchives.org,https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,http://www.abhsarchives.org/,https://web.archive.org/web/20191119192603/http://abhsarchives.org/,2019-11-19,1853,https://web.archive.org/web/20191119192650/http://abhsarchives.org/about/,2019-11-19,"","","",,,,,,,,,,,,,abhsarchives,https://web.archive.org/web/20191119192954/https://www.facebook.com/abhsarchives,2019-11-19,"","",2020-03-30 CL
0567,American Cherokee Confederacy,https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,"cultural organization in Albany, Georgia, USA",,cultural organization,https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,"619 Pine Cone Road, Albany, GA 31705",https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,Albany,https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,Dougherty County,https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,Georgia,https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,United States of America,https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,"31.415587, -84.023373",https://www.geocod.io/,2020-02-20,+1-229-787-5722,https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,mailto:info@acconfederacy.org,https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,http://www.acconfederacy.org,https://web.archive.org/web/20191119194907/http://www.acconfederacy.org/,2019-11-19,,,,"","","",,,,,,,,,,,,,American-Cherokee-Confederacy-863842467067266,https://web.archive.org/web/20191119195047/https://www.facebook.com/American-Cherokee-Confederacy-863842467067266/,2019-11-19,"","",2020-03-30 CL
0568,Andersonville National Historic Site,https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,"heritage site in Andersonville, Georgia, USA",,heritage site,https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,"496 Cemetery Road, Andersonville, GA 31711",https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,Andersonville,https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,Sumter County,https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,Georgia,https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,United States of America,https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,"32.197605, -84.127365","https://www.google.com/maps/place/Andersonville+National+Historic+Site+-+National+Prisoner+of+War+Museum/@32.197883,-84.1275055,19z/",2020-02-20,+1-229-924-0343,https://web.archive.org/web/20200219171217/https://www.georgiaarchives.org/ghrac/directory,2020-02-19,,,,http://www.nps.gov/ande,https://web.archive.org/web/20191119195635/https://www.nps.gov/ande/index.htm,2019-11-19,,,,"","","",,,,,,,,,,,,,AndersonvilleNPS,https://web.archive.org/web/20191119195525/https://www.facebook.com/AndersonvilleNPS/,2019-11-19,"","",2020-03-30 CL
