Code,organization_label (en),REF URL organization_label (en),RET DAT organization_label (en),description (en),alias (en),instance of (P31),REF URL instance of (P31),RET DAT instance of (P31),located at street address (P6375),REF URL located at street address (P6375),RET DAT located at street address (P6375),city (P131),REF URL city (P131),RET DAT city (P131),county (P131),REF URL county (P131),RET DAT county (P131),state (P131),REF URL state (P131),RET DAT state (P131),country (P17),REF URL country (P17),RET DAT country (P17),coordinate location (P625),REF URL coordinate location (P625),RET DAT coordinate location (P625),phone number (P1329),REF URL phone number (P1329),RET DAT phone number (P1329),email address (P968),REF URL email address (P968),RET DAT email address (P968),official website (P856),REF URL official website (P856),RET DAT official website (P856),inception (P571),REF URL inception (P571),RET DAT inception (P571),"dissolved, abolished or demolished (P576)","REF URL dissolved, abolished or demolished (P576)","RET DAT dissolved, abolished or demolished (P576)",parent organization (P749),REF URL parent organization (P749),RET DAT parent organization (P749),subsidiaries (P355),REF URL subsidiaries (P355),RET DAT subsidiaries (P355),PO Box (P2918),REF URL PO Box (P2918),RET DAT PO Box (P2918),Postal Code (P281),REF URL Postal Code (P281),RET DAT Postal Code (P281),Facebook ID (P2013),REF URL Facebook ID (P2013),RET DAT Facebook ID (P2013), Source Notes, Internal Notes
,Aragon Historical Society,,,"historical society in Aragon, Georgia, United States",,,,,,,,Aragon,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,333,,,30104-0333,,,,,,,
,Ashantilly Center,,,"historical society in Darien, Georgia, United States",,,,,,,,Darien,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1449,,,31305-1449,,,,,,,
,Augusta Canal Authority,,,"historical society in Augusta, Georgia, United States",,,,,,,,Augusta,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2367,,,30903-2367,,,,,,,
,Augusta Museum of History,,,"historical society in Augusta, Georgia, United States",,,,,"560 Reynolds St, Augusta, Georgia 30901-1430",,,Augusta,,,Richmond County,https://www.geocod.io/,2019-12-17,Georgia,,,,,,"33.474872, -81.960727",https://www.geocod.io/,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,30901-1430,,,,,,,
,"Augusta Richmond County Historical Society, Inc.",,,"historical society in Augusta, Georgia, United States",,,,,"2500 Walton Way, Augusta, Georgia 30904-2200",,,Augusta,,,Richmond County,https://www.geocod.io/,2019-12-17,Georgia,,,,,,"33.476372, -82.022718",https://www.geocod.io/,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,30904-2200,,,,,,,
,Bethlehem Missionary Baptist Church,,,"historical society in Savannah, Georgia, United States",,,,,"1108 May Street, Savannah, Georgia 31415",,,Savannah,,,Chatham County,https://www.geocod.io/,2019-12-17,Georgia,,,,,,"32.067531, -81.10536",https://www.geocod.io/,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,31415,,,,,,,
,Bonaventure Historical Society,,,"historical society in Savannah, Georgia, United States",,,,,,,,Savannah,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5954,,,31414-5954,,,,,,,
,Brantley County Historical Preservation Society Inc.,,,"historical society in Nahunta, Georgia, United States",,,,,,,,Nahunta,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1096,,,31553-1098,,,,,,,
,Bryan-Lang Historical Archives,,,"historical society in Woodbine, Georgia, United States",,,,,,,,Woodbine,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,715,,,31569,,,,,,,
,Buckhead Heritage Society,,,"historical society in Atlanta, Georgia, United States",,,,,"3180 Mathieson Drive, Ste. 200, Atlanta, Georgia 30305",,,Atlanta,,,Fulton County,https://www.geocod.io/,2019-12-17,Georgia,,,,,,"33.841774, -84.3775",https://www.geocod.io/,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,30305,,,,,,,
,Bulloch County Historical Society,,,"historical society in Statesboro, Georgia, United States",,,,,,,,Statesboro,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42,,,30459-0042,,,,,,,
,"Burke County Genealogical Society, Inc.",,,"historical society in Waynesboro, Georgia, United States",,,,,,,,Waynesboro,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1522,,,30830-2522,,,,,,,
,Byron Area Historical Society,,,"historical society in Byron, Georgia, United States",,,,,,,,Byron,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,755,,,31008-0755,,,,,,,
,Byron Herbert Reece Society,,,"historical society in Young Harris, Georgia, United States",,,,,,,,Young Harris,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,811,,,30582,,,,,,,
,Candler County Historical Society,,,"historical society in Metter, Georgia, United States",,,,,,,,Metter,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,325,,,30439-0325,,,,,,,
,Catholic Diocese Of Savannah,,,"historical society in Savannah, Georgia, United States",,,,,"2170 East Victory Drive, Savannah, Georgia 31404",,,Savannah,,,Chatham County,https://www.geocod.io/,2019-12-17,Georgia,,,,,,"32.04046, -81.061046",https://www.geocod.io/,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,31404,,,,,,,
,Central Of Georgia Railway Historical Society,,,"historical society in Pleasant View, Tennessee, United States",,,,,"2400 Pleasant View Rd, Pleasant View, Georgia 37146-7027",,,Pleasant View,,,Cheatham County,https://www.geocod.io/,2019-12-17,Tennessee,,,,,,"36.397145, -87.063185",https://www.geocod.io/,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,37146-7027,,,,,,,
,Chattahoochee Valley Historical Society,,,"historical society in West Point, Georgia, United States",,,,,,,,West Point,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,718,,,31833,,,,,,,
,Cherokee County Historical Society,,,"historical society in Canton, Georgia, United States",,,,,,,,Canton,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1287,,,30169-1287,,,,,,,
,Chieftains Museum,,,"historical society in Rome, Georgia, United States",,,,,,,,Rome,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,373,,,30162-0373,,,,,,,
,City of Griffin - Griffin-Spalding Archives,,,"historical society in Griffin, Georgia, United States",,,,,,,,Griffin,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T,,,30224,,,,,,,
,City Of Madison,,,"historical society in Madison, Georgia, United States",,,,,,,,Madison,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32,,,30650,,,,,,,
,"Clermont Historical Society, Inc.",,,"historical society in Clermont, Georgia, United States",,,,,,,,Clermont,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441,,,30527,,,,,,,
,Coastal Georgia Historical Society,,,"historical society in St. Simons Island, Georgia, United States",,,,,,,,St. Simons Island,,,,,,Georgia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21136,,,31522-0636,,,,,,,
,Coastal Heritage Society,,,"historical society in Savannah, Georgia, United States",,,,,"303 Martin Luther King, Jr. Blvd., Savannah, Georgia 31401",,,Savannah,,,Chatham County,https://www.geocod.io/,2019-12-17,Georgia,,,,,,"32.076193, -81.099719",https://www.geocod.io/,2019-12-17,,,,,,,,,,,,,,,,,,,,,,,,,31401,,,,,,,
