Code,organization_label (en),REF URL organization_label (en),RET DAT organization_label (en),description (en),alias (en),instance of (P31),REF URL instance of (P31),RET DAT instance of (P31),located at street address (P6375),REF URL located at street address (P6375),RET DAT located at street address (P6375),city (P131),REF URL city (P131),RET DAT city (P131),county (P131),REF URL county (P131),RET DAT county (P131),state (P131),REF URL state (P131),RET DAT state (P131),country (P17),REF URL country (P17),RET DAT country (P17),phone number (P1329),REF URL phone number (P1329),RET DAT phone number (P1329),email address (P968),REF URL email address (P968),RET DAT email address (P968),official website (P856),REF URL official website (P856),RET DAT official website (P856),inception (P571),REF URL inception (P571),RET DAT inception (P571),"dissolved, abolished or demolished (P576)","REF URL dissolved, abolished or demolished (P576)","RET DAT dissolved, abolished or demolished (P576)",parent organization (P749),REF URL parent organization (P749),RET DAT parent organization (P749),subsidiaries (P355),REF URL subsidiaries (P355),RET DAT subsidiaries (P355),PO Box (P2918),REF URL PO Box (P2918),RET DAT PO Box (P2918),Postal Code (P281),REF URL Postal Code (P281),RET DAT Postal Code (P281),Facebook ID (P2013),REF URL Facebook ID (P2013),RET DAT Facebook ID (P2013)," Source Notes"," Internal Notes",QC
0166,Fairmount City Library,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,"independent library in Fairmount, Georgia, USA",,library,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,"150 North Avenue, Fairmount, GA 30139",https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,Fairmount,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,Gordon County,https://web.archive.org/web/20191118151158/https://www.mapdevelopers.com/,2019-11-18,Georgia,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,United States of America,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,+1-706-337-3110,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,,,,https://fairmountga.gov/Library.aspx,https://web.archive.org/web/20191022145747/https://fairmountga.gov/Library.aspx,2019-10-22,,,,"","","",City of Fairmount,https://web.archive.org/web/20191022144009/https://fairmountga.gov/Default.aspx,2019-10-22,,,,,,,,,,,,,"","",2019-12-03 JL
0167,Newnan Carnegie,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,"independent library in Newnan, Georgia, USA",,library,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,"1 LaGrange Street, Newnan, GA 30263",https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,LaGrange,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,Coweta County,https://web.archive.org/web/20191118151158/https://www.mapdevelopers.com/,2019-11-18,Georgia,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,United States of America,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,+1-770-683-1347,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,,,,https://www.newnancarnegie.com/,https://web.archive.org/web/20191022145908/https://www.newnancarnegie.com/,2019-10-22,1903,https://web.archive.org/web/20191022150055/https://www.newnancarnegie.com/history,2019-10-22,"","","",The Newnan Carnegie Library Foundation,https://web.archive.org/web/20191022150340/http://newnanclf.com/,2019-10-22,,,,,,,,,,NewnanCarnegie,https://web.archive.org/web/20191022150118/https://www.facebook.com/NewnanCarnegie/,2019-10-22,"","",2019-12-04 JL
0168,Sayers Memorial Library,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,"independent library in Fort Benning, Georgia, USA",,library,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,"6870 Wold Avenue, Building 93, Fort Benning, GA 31905",https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,Fort Benning,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,Chattahoochee County,https://web.archive.org/web/20191118151158/https://www.mapdevelopers.com/,2019-11-18,Georgia,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,United States of America,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,+1-706-545-4911,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,,,,https://benning.armymwr.com/programs/mwr-library,https://web.archive.org/web/20191106182506/https://benning.armymwr.com/programs/mwr-library,2019-11-06,,,,"","","",United States Army,https://web.archive.org/web/20191022152338/https://www.goarmy.com/,2019-10-22,,,,,,,,,,,,,"","",2019-12-04 JL
0169,Smyrna Public Library,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,"independent library in Smyrna, Georgia, USA",,library,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,"100 Village Green Circle, Smyrna, GA 30080",https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,Smyrna,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,Cobb County,https://web.archive.org/web/20191114174619/https://www.smyrnaga.gov/your-government/departments/smyrna-public-library,2019-11-14,Georgia,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,United States of America,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,+1-770-431-2860,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,mailto:mwmoore@smyrnaga.gov,https://www.smyrnaga.gov/your-government/departments/smyrna-public-library,2019-10-22,https://www.smyrnaga.gov/your-government/departments/smyrna-public-library,https://web.archive.org/web/20191114174619/https://www.smyrnaga.gov/your-government/departments/smyrna-public-library,2019-11-14,,,,"","","",City of Smyrna,https://web.archive.org/web/20191022152755/https://www.smyrnaga.gov/home,2019-10-22,,,,,,,,,,,,,"","",2019-12-04 JL
0170,Athens-Clarke County Library,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,"public library in Athens, Georgia, USA",,library,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,"2025 Baxter Street, Athens, GA 30606",https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,Athens,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,Clarke County,https://web.archive.org/web/20191022153400/http://www.athenslibrary.org/athens,2019-10-22,Georgia,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,United States of America,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,+1-706-613-3650,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,,,,http://www.athenslibrary.org/athens,https://web.archive.org/web/20191022153400/http://www.athenslibrary.org/athens,2019-10-22,,,,"","","",Athens Regional Library System,https://web.archive.org/web/20191022153121/http://www.athenslibrary.org/,2019-10-22,,,,,,,,,,AthensClarkeLibrary,https://web.archive.org/web/20191022153456/https://www.facebook.com/AthensClarkeLibrary/,2019-10-22,"","",2019-12-04 JL
0171,Bogart Branch Library,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,"public library in Bogart, Georgia, USA",,library,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,"200 South Burson Avenue, Bogart, GA 30622",https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,Bogart,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,Oconee County,https://web.archive.org/web/20191118151158/https://www.mapdevelopers.com/,2019-11-18,Georgia,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,United States of America,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,+1-770-725-9443,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,,,,http://www.athenslibrary.org/bogart,https://web.archive.org/web/20191023132257/http://www.athenslibrary.org/bogart,2019-10-23,,,,"","","",Athens Regional Library System,https://web.archive.org/web/20191022153121/http://www.athenslibrary.org/,2019-10-22,,,,,,,,,,bogartlibrary,https://web.archive.org/web/20191023132359/https://www.facebook.com/bogartlibrary,2019-10-23,"","",2019-12-04 JL
0172,East Athens Community Resource Center,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,"public library in Athens, Georgia, USA",,library,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,"400 McKinley Drive, Athens, GA 30601",https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,Athens,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,Clarke County,https://web.archive.org/web/20191023132535/http://www.athenslibrary.org/eastathens,2019-10-23,Georgia,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,United States of America,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,+1-706-613-3657,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,,,,http://www.athenslibrary.org/eastathens,https://web.archive.org/web/20191023132535/http://www.athenslibrary.org/eastathens,2019-10-23,,,,"","","",Athens Regional Library System,https://web.archive.org/web/20191022153121/http://www.athenslibrary.org/,2019-10-22,,,,,,,,,,,,,"","",2019-12-04 JL
0173,Lavonia-Carnegie Library,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,"public library in Lavonia, Georgia, USA",,library,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,"28 Hartwell Road, Lavonia, GA 30553",https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,Lavonia,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,Franklin County,https://web.archive.org/web/20191023132733/http://www.athenslibrary.org/lavonia,2019-10-23,Georgia,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,United States of America,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,+1-706-356-4307,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,,,,http://www.athenslibrary.org/lavonia,https://web.archive.org/web/20191023132733/http://www.athenslibrary.org/lavonia,2019-10-23,1911,https://web.archive.org/web/20191114161842/http://www.athenslibrary.org/lavonia/local-information/history-of-the-library,2019-11-14,"","","",Athens Regional Library System,https://web.archive.org/web/20191022153121/http://www.athenslibrary.org/,2019-10-22,,,,,,,,,,LavoniaLib,https://web.archive.org/web/20191023133004/https://www.facebook.com/LavoniaLib/,2019-10-23,"","",2019-12-04 JL
0174,Lay Park Community Resource Center,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,"public library in Athens, Georgia, USA",,library,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,"297 Hoyt Street, Athens, GA 30601",https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,Athens,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,Clarke County,https://web.archive.org/web/20191023133217/http://www.athenslibrary.org/laypark,2019-10-23,Georgia,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,United States of America,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,+1-706-613-3667,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,,,,http://www.athenslibrary.org/laypark,https://web.archive.org/web/20191023133217/http://www.athenslibrary.org/laypark,2019-10-23,,,,"","","",Athens Regional Library System,https://web.archive.org/web/20191022153121/http://www.athenslibrary.org/,2019-10-22,,,,,,,,,,,,,"","",2019-12-04 JL
0175,Madison County Library,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,"public library in Danielsville, Georgia, USA",,library,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,"1315 Highway 98 West, Danielsville, GA 30633",https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,Danielsville,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,Madison County,https://web.archive.org/web/20191023133556/http://www.athenslibrary.org/madison,2019-10-23,Georgia,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,United States of America,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,+1-706-795-5597,https://web.archive.org/web/20191114183510/https://georgialibraries.org/allpubliclibraryfacilities/,2019-11-14,,,,http://www.athenslibrary.org/madison,https://web.archive.org/web/20191023133556/http://www.athenslibrary.org/madison,2019-10-23,,,,"","","",Athens Regional Library System,https://web.archive.org/web/20191022153121/http://www.athenslibrary.org/,2019-10-22,,,,,,,,,,madisoncolibrary,https://web.archive.org/web/20191023133640/https://www.facebook.com/madisoncolibrary/,2019-10-23,"","",2019-12-04 JL
