Code,organization_label (en),REF URL organization_label (en),RET DAT organization_label (en),description (en),alias (en),instance of (P31),REF URL instance of (P31),RET DAT instance of (P31),located at street address (P6375),REF URL located at street address (P6375),RET DAT located at street address (P6375),city (P131),REF URL city (P131),RET DAT city (P131),county (P131),REF URL county (P131),RET DAT county (P131),state (P131),REF URL state (P131),RET DAT state (P131),country (P17),REF URL country (P17),RET DAT country (P17),coordinate location (P625),REF URL coordinate location (P625),RET DAT coordinate location (P625),phone number (P1329),REF URL phone number (P1329),RET DAT phone number (P1329),email address (P968),REF URL email address (P968),RET DAT email address (P968),official website (P856),REF URL official website (P856),RET DAT official website (P856),inception (P571),REF URL inception (P571),RET DAT inception (P571),"dissolved, abolished or demolished (P576)","REF URL dissolved, abolished or demolished (P576)","RET DAT dissolved, abolished or demolished (P576)",parent organization (P749),REF URL parent organization (P749),RET DAT parent organization (P749),subsidiaries (P355),REF URL subsidiaries (P355),RET DAT subsidiaries (P355),PO Box (P2918),REF URL PO Box (P2918),RET DAT PO Box (P2918),Postal Code (P281),REF URL Postal Code (P281),RET DAT Postal Code (P281),Facebook ID (P2013),REF URL Facebook ID (P2013),RET DAT Facebook ID (P2013)," Source Notes"," Internal Notes",QC
,Adam Brinson Historical Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Twin City, Georgia, USA",,,,,,,,Twin City,,,Emanuel County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://www.twincityga.com/Museums.aspx,,,,,,"","","",,,,,,,29,,,30471-0029,,,,,,"","",
,African American Sports Museum,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Marietta, Georgia, USA",,,,,"120 POWERS FERRY RD SE, MARIETTA, GA 30067",,,Marietta,,,Cobb County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,30067,,,,,,"","",
,African-American Historical Association Of Newton County,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Covington, Georgia, USA",,,,,,,,Covington,,,Newton County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,,,,,,,"","","",,,,,,,1538,,,30054-1538,,,,,,"","",
,African-American Research Library And Cultural Center,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Hephzibah, Georgia, USA",,,,,"2863 CONNISTON DR, HEPHZIBAH, GA 30815-8007",,,Hephzibah,,,Richmond County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,30815-8007,,,,,,"","",
,Africian American Alliance,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Newnan, Georgia, USA",,,,,"92 FARMER ST, NEWNAN, GA 30263-1436",,,Newnan,,,Coweta County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,30263-1436,,,,,,"","",
,Air Acres Museum,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Woodstock, Georgia, USA",,,,,"376 AIR ACRES WAY, WOODSTOCK, GA 30188-2910",,,Woodstock,,,Cherokee County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,30188-2910,,,,,,"","",
,Airborne Historical Association,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Columbus, Georgia, USA",,,,,"424 DALTON DR, COLUMBUS, GA 31904-2332",,,Columbus,,,Muscogee County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,31904-2332,,,,,,"","",
,Albany Civil Rights Institute,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Albany, Georgia, USA",,,,,"326 W WHITNEY AVENUE, ALBANY, GA 31706-6036",,,Albany,,,Dougherty County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.albanycivilrightsinstitute.org/,,,,,,"","","",,,,,,,,,,31706-6036,,,,,,"","",
,Allman Brothers Band Museum,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Macon, Georgia, USA",,,,,"2321 VINEVILLE AVE, MACON, GA 31204",,,Macon,,,Bibb County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.thebighousemuseum.com/,,,,,,"","","",,,,,,,,,,31204,,,,,,"","",
,Alpharetta Historical Society at the Mansell House,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Alpharetta, Georgia, USA",,,,,"1835 OLD MILTON PKWY, ALPHARETTA, GA 30009-1823",,,Alpharetta,,,Fulton County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://www.n-georgia.com/alpharetta-historical-society.html,,,,,,"","","",,,,,,,,,,30009-1823,,,,,,"","",
,The Alpharetta & Old Milton County Historical Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Alpharetta, Georgia, USA",,,,,"  ",,,Alpharetta,,,Fulton County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://aomchs.org/,,,,,,"","","",,,,,,,,,,,,,,,,"","",
,Altamaha Heritage Center,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Lyons, Georgia, USA",,,,,,,,Lyons,,,Toombs County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,https://www.facebook.com/altamahaheritagecenter/,,,,,,"","","",,,,,,,1085,,,30436-6085,,,,,,"","",
,American Society For The History Of Rhetoric,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Watkinsville, Georgia, USA",,,,,"PENN STATE UNIVERSITY DEPT COMMUNICATION ARTS & SCIENCES 223 SPARKS, UNIVERSITY PARK, PA 30677-4125",,,Watkinsville,,,Oconee County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,,,,,,,"","","",,,,,,,,,,30677-4125,,,,,,"","",
,Ames Society,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Bogart, Georgia, USA",,,,,"1660 JENNINGS MILL RD, BOGART, GA 30622-2532",,,Bogart,,,Oconee County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://amessociety.org,,,,,,"","","",,,,,,,,,,30622-2532,,,,,,"","",
,Andalusia Farm- Home Of Flannery O'connor,https://web.archive.org/web/20200414144230/https://www.imls.gov/research-evaluation/data-collection/museum-data-files,2020-04-14,"located in Milledgeville, Georgia, USA",,,,,"2628 N COLUMBIA ST, MILLEDGEVILLE, GA 31061",,,Milledgeville,,,Baldwin County,https://www.geocod.io/,2020-04-14,Georgia,,,USA,,,,,,,,,,,,http://andalusiafarm.org/,,,,,,"","","",,,,,,,,,,31061,,,,,,"","",
