Code,organization_label (en),REF URL organization_label (en),RET DAT organization_label (en),description (en),alias (en),instance of (P31),REF URL instance of (P31),RET DAT instance of (P31),located at street address (P6375),REF URL located at street address (P6375),RET DAT located at street address (P6375),city (P131),REF URL city (P131),RET DAT city (P131),county (P131),REF URL county (P131),RET DAT county (P131),state (P131),REF URL state (P131),RET DAT state (P131),country (P17),REF URL country (P17),RET DAT country (P17),coordinate location (P625),REF URL coordinate location (P625),RET DAT coordinate location (P625),phone number (P1329),REF URL phone number (P1329),RET DAT phone number (P1329),email address (P968),REF URL email address (P968),RET DAT email address (P968),official website (P856),REF URL official website (P856),RET DAT official website (P856),inception (P571),REF URL inception (P571),RET DAT inception (P571),"dissolved, abolished or demolished (P576)","REF URL dissolved, abolished or demolished (P576)","RET DAT dissolved, abolished or demolished (P576)",parent organization (P749),REF URL parent organization (P749),RET DAT parent organization (P749),subsidiaries (P355),REF URL subsidiaries (P355),RET DAT subsidiaries (P355),PO Box (P2918),REF URL PO Box (P2918),RET DAT PO Box (P2918),Postal Code (P281),REF URL Postal Code (P281),RET DAT Postal Code (P281),Facebook ID (P2013),REF URL Facebook ID (P2013),RET DAT Facebook ID (P2013)," Source Notes"," Internal Notes",,
1040,Atlanta Housing Archives,https://web.archive.org/web/20190712122606/https://www.atlantahousing.org/about-us/archives/,2019-07-12,archives of the Housing Authority of the City of Atlanta,"Atlanta Housing (AH) Archives, the Housing Authority of the City of Atlanta",archives,https://web.archive.org/web/20190712122606/https://www.atlantahousing.org/about-us/archives/,2019-07-12,"230 John Wesley Dobbs Avenue Atlanta, GA 30303",https://web.archive.org/web/20190712122606/https://www.atlantahousing.org/about-us/archives/,2019-07-12,Atlanta,https://web.archive.org/web/20190712122606/https://www.atlantahousing.org/about-us/archives/,2019-07-12,Fulton County,https://www.get-direction.com/,2019-11-18,Georgia,https://web.archive.org/web/20190712122606/https://www.atlantahousing.org/about-us/archives/,2019-07-12,United States of America,https://web.archive.org/web/20190712122606/https://www.atlantahousing.org/about-us/archives/,2019-07-12,"33.757882, -84.379907","https://www.google.com/maps/place/230+John+Wesley+Dobbs+Ave+NE,+Atlanta,+GA+30303/@33.7578247,-84.3799778,21z/",2019-11-18,+1-404-817-7267,https://web.archive.org/web/20190712122606/https://www.atlantahousing.org/about-us/archives/,2019-07-12,mailto:AHAArchives@atlantahousing.org,https://web.archive.org/web/20190712122606/https://www.atlantahousing.org/about-us/archives/,2019-07-12,https://www.atlantahousing.org/about-us/archives/,https://web.archive.org/web/20190712122606/https://www.atlantahousing.org/about-us/archives/,2019-07-12,2014,https://web.archive.org/web/20191118205444/https://www2.archivists.org/sites/all/files/AH%20Profile.pdf,2019-11-18,"","","",,,,,,,,,,,,,housingatlanta,https://web.archive.org/web/20191118203010/https://www.facebook.com/housingatlanta/,2019-11-18,"","Emailed",,
1041,Patch Works Art & History Center,https://web.archive.org/web/20191125175304/https://thepatchworks.org/,2019-11-25,"archives for the Cabbagetown Historic Landmark District and surrounding neighborhoods in Southeast Atlanta, Georgia, United States",The Patch Works Art & History Center,archives,https://web.archive.org/web/20191125175426/https://thepatchworks.org/about/,2019-11-25,"593 Gaskill Street SE, Atlanta, GA, 30316",https://web.archive.org/web/20191125175304/https://thepatchworks.org/,2019-11-25,Atlanta,https://web.archive.org/web/20191125175304/https://thepatchworks.org/about/,2019-11-25,Fulton County,https://www.get-direction.com/,2019-11-25,Georgia,https://web.archive.org/web/20191125175304/https://thepatchworks.org/about/,2019-11-25,United States of America,https://web.archive.org/web/20191125175304/https://thepatchworks.org/about/,2019-11-25,"33.748124, -84.367941","https://www.google.com/maps/place/The+Patch+Works+Art+and+History+Center/@33.748137,-84.368024,21z/",2019-11-25,+1-404-806-7288,https://web.archive.org/web/20191125175304/https://thepatchworks.org/,2019-11-25,mailto:info@thepatchworks.org,https://web.archive.org/web/20191125175304/https://thepatchworks.org/,2019-11-25,https://thepatchworks.org,https://web.archive.org/web/20191125175304/https://thepatchworks.org/,2019-11-25,2016,https://web.archive.org/web/20191125175426/https://thepatchworks.org/about/,2019-11-25,"","","",,,,,,,,,,,,,thepatchworkscabbagetown,https://web.archive.org/web/20191125175426/https://thepatchworks.org/about/,2019-11-25,"","",,
785,Dublin-Laurens County Museum,,,,,,,,"702 Bellevue Ave, Dublin, GA 31021",https://web.archive.org/web/20200905155034/https://www.facebook.com/Dublin-Laurens-Museum-and-Cultural-Center-1565093483779458/about/,2020-09-05,Dublin,https://web.archive.org/web/20200905155034/https://www.facebook.com/Dublin-Laurens-Museum-and-Cultural-Center-1565093483779458/about/,2020-09-05,Laurens County,https://web.archive.org/web/20200905155034/https://www.facebook.com/Dublin-Laurens-Museum-and-Cultural-Center-1565093483779458/about/,2020-09-05,Georgia,https://web.archive.org/web/20200905155034/https://www.facebook.com/Dublin-Laurens-Museum-and-Cultural-Center-1565093483779458/about/,2020-09-05,United States of America,https://web.archive.org/web/20200905155034/https://www.facebook.com/Dublin-Laurens-Museum-and-Cultural-Center-1565093483779458/about/,2020-09-05,,,,+1-478-279-2514,https://web.archive.org/web/20200905155034/https://www.facebook.com/Dublin-Laurens-Museum-and-Cultural-Center-1565093483779458/about/,2020-09-05,,,,http://www.laurenshistory.org/,https://web.archive.org/web/20181204203125/http://www.laurenshistory.org/,2020-09-05,,,,"","","",,,,,,,,,,,,,Dublin-Laurens-Museum-and-Cultural-Center-1565093483779458,https://web.archive.org/web/20200905155034/https://www.facebook.com/Dublin-Laurens-Museum-and-Cultural-Center-1565093483779458/about/,2020-09-05,"","",,
805,LeConte-Woodmanston Plantation and Botanical Garden,https://web.archive.org/web/20200707174411/http://leconte-woodmanston.org/,2020-09-05,,,,,,"4918 Barrington Ferry Road, Riceboro, Georgia 31323",https://web.archive.org/web/20200905160011if_/http://www.leconte-woodmanston.org/contactus.html,2020-09-05,Riceboro,https://web.archive.org/web/20200905160011if_/http://www.leconte-woodmanston.org/contactus.html,2020-09-05,Liberty County,https://web.archive.org/web/20200905160536/https://www.uscounties.com/zipcodes/search.pl?query=31323&stpos=0&stype=AND,2020-09-05,Georgia,https://web.archive.org/web/20200905160011if_/http://www.leconte-woodmanston.org/contactus.html,2020-09-05,United States of America,https://web.archive.org/web/20200905160011if_/http://www.leconte-woodmanston.org/contactus.html,2020-09-05,"31.701719, -81.475677","https://www.google.com/maps/place/LeConte-Woodmanston+Plantation+and+Botanical+Gardens/@31.7018592,-81.4779012,17z/",2020-09-05,+1-912-884-6500,https://web.archive.org/web/20200905160011if_/http://www.leconte-woodmanston.org/contactus.html,2020-09-05,,,,http://www.leconte-woodmanston.org/,https://web.archive.org/web/20200905160011if_/http://www.leconte-woodmanston.org/contactus.html,2020-09-05,,,,"","","",,,,,,,,,,,,,,,,"","",,
831,Senioa Area Historical Society History Museum,https://web.archive.org/web/20200905162041/https://www.senoia.com/community/page/senoia-area-historical-society-museum,2020-09-05,"history museum in Senoia, Georgia, USA",,history museum,https://web.archive.org/web/20200905162041/https://www.senoia.com/community/page/senoia-area-historical-society-museum,2020-09-05,"6 Couch Street, Senoia, GA 30276",https://web.archive.org/web/20200905162041/https://www.senoia.com/community/page/senoia-area-historical-society-museum,2020-09-05,Senoia,https://web.archive.org/web/20200905162041/https://www.senoia.com/community/page/senoia-area-historical-society-museum,2020-09-05,Coweta County,https://web.archive.org/web/20200905162111/https://www.senoia.com/community/page/history-senoia-georgia,2020-09-05,Georgia,https://web.archive.org/web/20200905162041/https://www.senoia.com/community/page/senoia-area-historical-society-museum,2020-09-05,United States of America,https://web.archive.org/web/20200905162041/https://www.senoia.com/community/page/senoia-area-historical-society-museum,2020-09-05,"33.305501, -84.555804","https://www.google.com/maps/place/Senoia+Area+Historical+Society/@33.3055196,-84.5560973,20z/",2020-09-05,,,,mailto:senoiaareahistoricalsociety@gmail.com,https://web.archive.org/web/20200905163023/http://www.senoiaareahistoricalsociety.org/contact-us.html,2020-09-05,http://www.senoiaareahistoricalsociety.org/museum.html,https://web.archive.org/web/20200905163056/http://www.senoiaareahistoricalsociety.org/museum.html,2020-09-05,,,,"","","",,,,,,,,,,,,,,,,"","",,
1123,Georgia Rural Telephone Museum,https://web.archive.org/web/20200202130643/http://grtm.org/,2020-09-05,,,telecommunications museum,https://web.archive.org/web/20200202130643/http://grtm.org/,2020-09-05,"135 N Bailey Ave, Leslie, GA 31764","https://www.google.com/maps/place/Georgia+Rural+Telephone+Museum/@31.9559708,-84.0869296,20.5z/",2020-09-05,Leslie,"https://www.google.com/maps/place/Georgia+Rural+Telephone+Museum/@31.9559708,-84.0869296,20.5z/",2020-09-05,Sumter County,https://web.archive.org/web/20200905163740/https://www.uscounties.com/zipcodes/search.pl?query=31764&stpos=0&stype=AND,2020-09-05,Georgia,https://web.archive.org/web/20200202130643/http://grtm.org/,2020-09-05,United States of America,https://web.archive.org/web/20200202130643/http://grtm.org/,2020-09-05,"31.955997, -84.086749","https://www.google.com/maps/place/Georgia+Rural+Telephone+Museum/@31.9559986,-84.0889371,17z/",2020-09-05,+1-229-874-4786,https://web.archive.org/web/20200202130643/http://grtm.org/,2020-09-05,,,,http://grtm.org/,https://web.archive.org/web/20200202130643/http://grtm.org/,2020-09-05,,,,"","","",,,,,,,,,,,,,,,,"","",,
574,Appling County Heritage Center,https://web.archive.org/web/20191217152715/https://georgiahistory.com/education-outreach/affiliate-chapter-program/affiliate-chapter-list-by-county/,2019-12-17,"museum in Baxley, Georgia, USA",,history museum,https://web.archive.org/web/20200905164247/https://www.exploregeorgia.org/baxley/general/historic-sites-trails-tours/appling-county-heritage-center,2020-09-05,"209 Thomas Street, Baxley, GA 31513",https://web.archive.org/web/20200905164247/https://www.exploregeorgia.org/baxley/general/historic-sites-trails-tours/appling-county-heritage-center,2020-09-05,Baxley,https://web.archive.org/web/20200905164247/https://www.exploregeorgia.org/baxley/general/historic-sites-trails-tours/appling-county-heritage-center,2020-09-05,Appling County,https://web.archive.org/web/20200905164247/https://www.exploregeorgia.org/baxley/general/historic-sites-trails-tours/appling-county-heritage-center,2020-09-05,Georgia,https://web.archive.org/web/20200905164247/https://www.exploregeorgia.org/baxley/general/historic-sites-trails-tours/appling-county-heritage-center,2020-09-05,United States of America,https://web.archive.org/web/20200905164247/https://www.exploregeorgia.org/baxley/general/historic-sites-trails-tours/appling-county-heritage-center,2020-09-05,"31.781070, -82.350542","https://www.google.com/maps/place/Appling+County+Heritage+Center/@31.7809928,-82.3502385,21z/",2020-09-05,+1-912-367-8133,https://web.archive.org/web/20200905164247/https://www.exploregeorgia.org/baxley/general/historic-sites-trails-tours/appling-county-heritage-center,2020-09-05,,,,,,,,,,"","","",,,,,,,,,,,,,,,,"","",,
1125,Savannah Children's Museum,https://web.archive.org/web/20191008155716/http://www.chsgeorgia.org/SCM,2019-10-08,"children's museum in Savannah, Georgia, USA",SCM,children's museum,https://web.archive.org/web/20200224205844/http://chsgeorgia.org/SCM/Contact,2020-09-05,"655 Louisville Rd, Savannah, GA 31401",https://web.archive.org/web/20200224205917/http://chsgeorgia.org/SCM/Plan-Your-Visits,2020-09-05,Savannah,https://web.archive.org/web/20200224205917/http://chsgeorgia.org/SCM/Plan-Your-Visits,2020-09-05,Chatham County,https://web.archive.org/web/20200224205917/http://chsgeorgia.org/SCM/Plan-Your-Visits,2020-09-05,Georgia,https://web.archive.org/web/20200224205917/http://chsgeorgia.org/SCM/Plan-Your-Visits,2020-09-05,United States of America,https://web.archive.org/web/20200224205917/http://chsgeorgia.org/SCM/Plan-Your-Visits,2020-09-05,"32.075277, -81.102498","https://www.google.com/maps/place/Savannah+Children's+Museum/@32.0752778,-81.1046887,17z/",2020-09-05,+1-912-651-4292,https://web.archive.org/web/20200224205917/http://chsgeorgia.org/SCM/Plan-Your-Visits,2020-09-05,mailto:admin@chsgeorgia.org,https://web.archive.org/web/20200224205844/http://chsgeorgia.org/SCM/Contact,2020-09-05,http://chsgeorgia.org/SCM/,https://web.archive.org/web/20200224205844/http://chsgeorgia.org/SCM/Contact,2020-09-05,,,,"","","",,,,,,,,,,,,,SavannahChildrensMuseum,https://web.archive.org/web/20200905181528/https://www.facebook.com/SavannahChildrensMuseum,2020-09-05,"","",,
1055,Savannah History Museum,https://web.archive.org/web/20191008155943/http://www.chsgeorgia.org/SHM,2019-10-08,"history museum in Savannah, Georgia, USA",SHM,history museum,https://web.archive.org/web/20200905182412/http://www.chsgeorgia.org/SHM/Contact,2020-09-05,"303 Martin Luther King, Jr. Blvd., Savannah, GA 31401",https://web.archive.org/web/20200905182406/http://www.chsgeorgia.org/SHM/Plan-Your-Visits,2020-09-05,Savannah,https://web.archive.org/web/20200905182406/http://www.chsgeorgia.org/SHM/Plan-Your-Visits,2020-09-05,Chatham County,https://web.archive.org/web/20200905182406/http://www.chsgeorgia.org/SHM/Plan-Your-Visits,2020-09-05,Georgia,https://web.archive.org/web/20200905182406/http://www.chsgeorgia.org/SHM/Plan-Your-Visits,2020-09-05,United States of America,https://web.archive.org/web/20200905182406/http://www.chsgeorgia.org/SHM/Plan-Your-Visits,2020-09-05,"32.076131, -81.099446","https://www.google.com/maps/place/Savannah+History+Museum/@32.0761085,-81.1001027,20z/",2020-09-05,+1-912-651-6825,https://web.archive.org/web/20200905182406/http://www.chsgeorgia.org/SHM/Plan-Your-Visits,2020-09-05,mailto:admin@chsgeorgia.org,https://web.archive.org/web/20200905182412/http://www.chsgeorgia.org/SHM/Contact,2020-09-05,http://www.chsgeorgia.org/SHM,https://web.archive.org/web/20200905175535/http://www.chsgeorgia.org/SHM,2020-09-05,,,,"","","",,,,,,,,,,,,,savannahhistorymuseum,https://web.archive.org/web/20200905182404/https://www.facebook.com/savannahhistorymuseum,2020-09-05,"","",,
1126,McRitchie-Hollis Museum,https://web.archive.org/web/20200905183253/http://newnancowetahistoricalsociety.com/visit/,2020-09-05,"historic house museum in Newnan, Georgia, USA",,hsitoric house museum,https://web.archive.org/web/20200905183253/http://newnancowetahistoricalsociety.com/visit/,2020-09-05,"74 Jackson Street, Newnan, GA 30263",https://web.archive.org/web/20200905183253/http://newnancowetahistoricalsociety.com/visit/,2020-09-05,Newnan,https://web.archive.org/web/20200905183253/http://newnancowetahistoricalsociety.com/visit/,2020-09-05,Coweta County,https://web.archive.org/web/20200905184316/https://www.uscounties.com/zipcodes/search.pl?query=30263&stpos=0&stype=AND,2020-09-05,Georgia,https://web.archive.org/web/20200905183253/http://newnancowetahistoricalsociety.com/visit/,2020-09-05,United States of America,https://web.archive.org/web/20200905183253/http://newnancowetahistoricalsociety.com/visit/,2020-09-05,"33.380695, -84.800404","https://www.google.com/maps/place/McRitchie-Hollis+Museum/@33.3806994,-84.8025874,17z/",2020-09-05,+1-770-251-0207,https://web.archive.org/web/20200905183253/http://newnancowetahistoricalsociety.com/visit/,2020-09-05,mailto:executivedirector@newnancowetahistoricalsociety.com,https://web.archive.org/web/20200905183253/http://newnancowetahistoricalsociety.com/visit/,2020-09-05,http://newnancowetahistoricalsociety.com/visit/,https://web.archive.org/web/20200905183253/http://newnancowetahistoricalsociety.com/visit/,2020-09-05,,,,"","","",,,,,,,,,,,,,,,,"","",,
