"1704 South Slappey Boulevard, Albany, GA 31701",Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,City,State,County,Zip,Country,Source,
"1560 Metropolitan Parkway Southwest, Atlanta, GA 30310-4446",33.71211,-84.404507,1,rooftop,1560,Metropolitan Pkwy SW,Atlanta,GA,Fulton County,30310,US,Fulton County,
"3200 Augusta Tech Drive, Augusta, GA 30906",33.418555,-82.04574,1,rooftop,3200,Augusta Tech Dr,Augusta,GA,Richmond County,30906,US,Richmond,
"A Building, Room 108, 80 Cohen Walker Drive, Warner Robins, GA 31088",32.580403,-83.653003,1,place,,,Warner Robins,GA,Houston County,31088,US,TIGER/Line® dataset from the US Census Bureau,
"980 South Cobb Drive, Marietta, GA 30060",33.928818,-84.551169,1,range_interpolation,980,S Cobb Dr,Marietta,GA,Cobb County,30060,US,TIGER/Line® dataset from the US Census Bureau,
"100 Campus Drive, Jasper, GA 30143",34.474189,-84.426321,1,range_interpolation,100,Campus Dr,Jasper,GA,Pickens County,30143,US,TIGER/Line® dataset from the US Census Bureau,
"1645 Bluffs Parkway, Canton, GA 30114",34.288193,-84.465618,1,rooftop,1645,Bluffs Pkwy,Canton,GA,Cherokee County,30114,US,Cherokee,
"2680 Gordy Parkway, Marietta, GA 30066",34.032986,-84.467291,0.66,nearest_rooftop_match,2650,Gordy Pkwy NE,Marietta,GA,Cobb County,30062,US,Cobb,
"5198 Ross Road, Acworth, GA 30102",34.082968,-84.670396,1,rooftop,5198,Ross Rd,Acworth,GA,Bartow County,30102,US,Bartow,
"400 Nathan Dean Boulevard, Dallas, GA 30132",33.910627,-84.826266,1,rooftop,400,Nathan Dean Blvd,Dallas,GA,Paulding County,30132,US,Paulding,
"8371 Main Street, Woodstock, GA 30188",34.104385,-84.517672,1,rooftop,8371,Main St,Woodstock,GA,Cherokee County,30188,US,Cherokee,
"1701 Carswell Avenue, Waycross, GA 31503",31.213283,-82.383197,1,rooftop,1701,Carswell Ave,Waycross,GA,Ware County,31503,US,Ware,
"Room 1201, 1777 West Cherry Street, Jesup, GA 31545",31.600775,-81.957787,1,place,,,Jesup,GA,Wayne County,31545,US,TIGER/Line® dataset from the US Census Bureau,
"Room 102, 677 Douglas Highway, Hazlehurst, GA 31513",31.756861,-82.350837,0.67,place,,,Baxley,GA,Appling County,31513,US,TIGER/Line® dataset from the US Census Bureau,
"3700 Glynco Parkway, Brunswick, GA 31525",31.255844,-81.456102,1,rooftop,3700,Glynco Pkwy,Brunswick,GA,Glynn County,31525,US,Glynn,
"8001 Lakes Boulevard, Kingsland, GA 31548",30.806826,-81.657284,1,rooftop,8001,Lakes Blvd,Kingsland,GA,Camden County,31548,US,Camden,
"Room 1110, 1334 Golden Isles Parkway West, Baxley, GA 31513",31.756861,-82.350837,1,place,,,Baxley,GA,Appling County,31513,US,TIGER/Line® dataset from the US Census Bureau,
"Room 1106, 101 West 17th Street, Alma, GA 31510",31.576952,-82.461197,1,place,,,Alma,GA,Bacon County,31510,US,TIGER/Line® dataset from the US Census Bureau,
"928 Manchester Expressway, Columbus, GA 31904",32.506486,-84.979368,1,rooftop,928,Manchester Expy,Columbus,GA,Muscogee County,31904,US,Muscogee County,
"120 College Park Drive, Ringgold, GA 30736",34.888709,-85.118699,0.33,place,,,Ringgold,GA,Catoosa County,30736,US,TIGER/Line® dataset from the US Census Bureau,
"1 Maurice Culberson Drive, Rome, GA 30161",34.225055,-85.171455,1,rooftop,1,Maurice Culberson Dr,Rome,GA,Floyd County,30161,US,Floyd,
"1151 Highway 53 Spur, Calhoun, GA 30701",34.492186,-84.968618,1,rooftop,1151,Highway 53,Calhoun,GA,Gordon County,30701,US,Gordon County,
"466 Brock Road, Rockmart, GA 30153",33.933073,-85.002176,0.8,range_interpolation,466,Old Brock Rd,Rockmart,GA,Paulding County,30153,US,TIGER/Line® dataset from the US Census Bureau,
"265 Bicentennial Trail, Rock Spring, GA 30739",34.812025,-85.252819,1,range_interpolation,265,Bicentennial Trl,Rock Spring,GA,Walker County,30739,US,TIGER/Line® dataset from the US Census Bureau,
"2310 Maddox Chapel Road, Dalton, GA 30721",34.784857,-84.92121,1,rooftop,2310,Maddox Chapel Rd,Dalton,GA,Whitfield County,30721,US,Whitfield,
"Building A, Room 105, 495 North Indian Creek Drive, Clarkston, GA 30021",33.810953,-84.23797,1,place,,,Clarkston,GA,DeKalb County,30021,US,TIGER/Line® dataset from the US Census Bureau,
"Building B, Room 109, 16200 Alcovy Road, Covington, GA 30014",33.529341,-83.849622,1,place,,,Covington,GA,Newton County,30014,US,TIGER/Line® dataset from the US Census Bureau,
"2460 Wesley Chapel Road, Decatur, Georgia  30035",33.71558,-84.212121,1,rooftop,2460,Wesley Chapel Rd,Decatur,GA,DeKalb County,30035,US,Dekalb,
"Room 139, 2875 Old Milton Parkway, Alpharetta, GA, 30009",34.07896,-84.305281,1,place,,,Alpharetta,GA,Fulton County,30009,US,TIGER/Line® dataset from the US Census Bureau,
"Building 100, Room 402, 5150 Sugarloaf Parkway, Lawrenceville, GA 30043",34.00309,-84.012608,1,place,,,Lawrenceville,GA,Gwinnett County,30043,US,TIGER/Line® dataset from the US Census Bureau,
"2535 Lanier Tech Drive, Gainesville, GA 30507",34.330987,-83.778752,1,rooftop,2535,Lanier Tech Dr,Gainesville,GA,Hall County,30507,US,Hall,
"3410 Ronald Reagan Boulevard, Cumming, GA 30041",34.148923,-84.185139,1,rooftop,3410,Ronald Reagan Blvd,Cumming,GA,Forsyth County,30041,US,Forsyth,
"965 Austin Road, Winder, GA 30680",33.946378,-83.655491,1,range_interpolation,965,Austin Rd,Winder,GA,Barrow County,30680,US,TIGER/Line® dataset from the US Census Bureau,
"408 Highway 9 North, Dawsonville, GA 30534",34.421115,-84.116909,1,range_interpolation,408,State Rte 9 N,Dawsonville,GA,Dawson County,30534,US,TIGER/Line® dataset from the US Census Bureau,
"631 South Elm Street, Commerce, GA 30529",34.189844,-83.446949,1,rooftop,631,S Elm St,Commerce,GA,Jackson County,30529,US,Jackson,
"121 Meeks Avenue, Blairsville, GA 30512",34.858324,-83.922755,0.3,range_interpolation,121,Maggie Cir,Blairsville,GA,Union County,30512,US,TIGER/Line® dataset from the US Census Bureau,
"1500 Highway 197 North, Clarkesville, GA 30523",34.616045,-83.52705,1,rooftop,1500,Washington St,Clarkesville,GA,Habersham County,30523,US,Habersham,
"9238 Highway 17, Toccoa, GA 30577",34.506836,-83.208487,0.6,street_center,,State Rte 17,Toccoa,GA,Stephens County,30577,US,TIGER/Line® dataset from the US Census Bureau,
"1189 Deepstep Road, Sandersville, GA 31082",33.000197,-82.841655,1,range_interpolation,1189,Deepstep Rd,Sandersville,GA,Washington County,31082,US,TIGER/Line® dataset from the US Census Bureau,
"One Joseph E. Kennedy Boulevard, Room 348, Joseph E. Kennedy Building, Statesboro, Georgia 30458",32.425,-81.784956,1,place,,,Statesboro,GA,Bulloch County,30458,US,TIGER/Line® dataset from the US Census Bureau,
"5717 White Bluff Road, Savannah, GA 31405",32.023587,-81.114316,1,rooftop,5717,White Bluff Rd,Savannah,GA,Chatham County,31405,US,City of Savannah,
"100 Technology Drive, Hinesville, GA 31313",31.788606,-81.635761,1,rooftop,100,Technology Dr,Hinesville,GA,Liberty County,31313,US,Liberty,
"2890 Highway 21 South, Rincon, GA 31326",32.32665,-81.251936,1,range_interpolation,2890,State Rte 21,Rincon,GA,Effingham County,31326,US,TIGER/Line® dataset from the US Census Bureau,
"900 South Georgia Tech Parkway, Americus, Georgia 31709",32.040432,-84.215282,0.33,place,,,Americus,GA,Sumter County,31709,US,TIGER/Line® dataset from the US Census Bureau,
"402 North Midway Road, Cordele, Georgia 31015",31.965542,-83.745964,0.7,range_interpolation,402,S Midway Rd,Cordele,GA,Crisp County,31015,US,TIGER/Line® dataset from the US Census Bureau,
"Room 143, Administration Building, 3001 E 1st Street, Vidalia, GA 30474",32.198683,-82.39208,1,place,,,Vidalia,GA,Toombs County,30474,US,TIGER/Line® dataset from the US Census Bureau,
"Room 2165, Instructional Building, 346 Kite Road, Room 2165, Swainsboro, GA 30401",32.569871,-82.346181,1,place,,,Swainsboro,GA,Emanuel County,30401,US,TIGER/Line® dataset from the US Census Bureau,
