Org Code,Organization Name
0001,6th Cavalry Museum
0002,Albany Museum of Art
0003,Allman Brothers Band Museum at the Big House
0004,Annette Howell Turner Center for the Arts
0005,ArtsGeorgia Inc.
0006,Atlanta Federal Reserve Bank Monetary Museum
0007,Atlanta History Center
0008,Augusta Canal
0009,Augusta Museum of History
0010,Averitt Center for the Arts
0011,Bandy Heritage Center for Northwest Georgia
0012,Barrington Hall
0013,Bartow History Museum
0014,Blue and Gray Museum
0015,Blue Ridge Mountain Arts Association
0016,Booth Western Art Museum
0017,Bowdon Area Historical Society
0018,Breman Jewish Heritage Museum
0019,Brenau University Galleries
0020,Bulloch County Historical Society
0021,Bulloch Hall
0022,Butts County Historical Society
0023,Calhoun-Gordon Arts Council
,Calhoun-Gordon Arts Council
0024,Cannonball House
0025,Center For Puppetry Arts
0026,Cherokee County Historical Society
0027,Chieftains Museum
0028,Church-Waddel-Brumby House
0029,"Coastal Heritage Society, Inc."
0030,William Root House Museum & Garden
0031,Collectible and Antique Chair Gallery
0032,Colquitt County Arts Center
0033,Columbus Museum
0034,Crawford W. Long Museum
0035,Cultural Arts Council of Douglasville/Douglas County
0036,Currahee Military Museum
0037,Decatur County Historical and Genealogical Society
0038,Dekalb History Center
0039,Dorchester Academy
0040,Douglas County Museum of History & Art
0041,Elachee Nature Science Center
0042,Elberton Granite Museum and Exhibit
0043,Moreland Hometown Heritage Museum
0044,Euharlee History Museum
0045,First African Baptist Church
0046,Flannery O'Connor–Andalusia Foundation
0047,Fort Valley Downtown Development Authority/Main Street
0048,Foxfire Museum and Heritage Center
0049,"Friends of Scull Shoals, Inc."
0050,Funk Heritage Center of Reinhardt University
0051,William P. Wall Museum of Natural History
0052,Georgia College Museum of Fine Arts
0053,Georgia Humanities Council
0054,Georgia Museum of Art
0055,Georgia Southern University Museum
0056,Hay House
0057,"Georgia's Old Capital Museum Society, Inc."
0058,Gilmer County Historical Society
0059,Glennville Tattnall Museum
0060,Hazlehurst–Jeff Davis Historical Museum Society
0061,Heard County Historical Center and Museum
0062,Heritage Station Museum
0063,Herndon Home Museum
0064,Hickory Hill
0065,High Museum of Art
0066,Hills and Dales Estate
0067,Historic Banning Mills
0068,"Historic Columbus Foundation, Inc."
0069,Historic Macon Foundation
0070,Sidney Lanier Cottage
0071,Historic Oakland Foundation
0072,Hudgens Center for the Arts
0073,Isaiah Davenport House Museum
0074,Jack Hadley Black History Museum
0075,Towns Bluff Park & Heritage Center
0076,Mosaic the Jekyll Island Museum
0077,Jimmy Carter Library and Museum
0078,Juliette Gordon Low Birthplace
0079,Museum of History and Holocaust Education
0080,LaGrange Woman's Club Bellevue
0081,Laurens County Historical Society
0082,LeConte Woodmanston Foundation
0083,Lowndes County Historical Society and Museum
0084,Lucy Craft Laney Museum of Black History and Conference Center
0085,Lyndon House Arts Center
0086,Madison-Morgan Cultural Center
0087,Marietta Fire Museum
0088,Marietta Museum of History
0089,Marietta/Cobb Museum of Art
0090,Marsh House of LaFayette
0091,"Martin Luther King, Jr. National Historic Site"
0092,Michael C. Carlos Museum Emory University
0093,Monroe-Walton Center for the Arts
0094,Monroe County Historical Society
0095,Morris Museum of Art
0096,Museum of Arts and Sciences
0097,Museum of Aviation & Flight Technology Center
0098,Museum of Colquitt County History
0099,Museum of Contemporary Art of Georgia
0100,Museum School of Avondale Estates
0101,Newnan-Coweta Historical Society
0102,Northeast Georgia History Center at Brenau University
0103,Oak Hill and Martha Berry Museum
0104,Ocmulgee National Monument Association
0105,Oglethorpe University Museum of Art
0106,Folkston Railroad Transportation Museum
0107,Douglas County Museum of History and Art
0108,Old Jail Museum and Genealogy Research Center
0109,Oliver Cesair Gallery
0110,Pebble Hill Plantation
0111,Polk County Historical Society Museum
0112,Port Columbus Civil War Naval Museum
0113,Ralph Mark Gilbert Civil Rights Museum
0114,Robert C. Williams Paper Museum
0115,Rock Hawk Effigy & Trails
0116,Roland Hayes Museum
0117,Rome Area History Museum
0118,Rose Lawn Museum
0119,Saint Marys Submarine Museum
0120,Saint Simons Island Lighthouse Museum
0121,Salvation Army Southern Historical Center
0122,Sautee Nacoochee Arts and Community Association
0123,Asa H. Gordon Library at Savannah State University
0124,SCAD Museum of Art
0125,Senoia Area Historical Society
0126,Shields Ethridge Heritage Farm
0127,Ships of the Sea Maritime Museum
0128,Shorter University Museum & Archives
0129,Sidney Lanier Cottage House Museum
0130,Smith Plantation
0131,Smith-Gilbert Gardens
0132,Smyrna Historical Society and Museum
0133,Southeastern Museums Conference (SEMC)
0134,Southeastern Quilt and Textile Museum
0135,South Arts Inc
0136,Southern Museum of Civil War and Locomotive History
0137,Spruill Center for the Arts
0138,Steffen Thomas Museum and Archives
0139,Stone Mountain Park
0140,Telfair Academy
0141,Tellus Science Museum
0142,Old Governor's Mansion
0143,Old School History Museum 
0144,Thomasville History Center
0145,Thronateeska Heritage Center
0146,Tifton Museum of Arts and Heritage
0147,Tifton Terminal Train Museum
0148,Troup County Historical Society Archives
0149,Ty Cobb Museum
0150,Uncle Remus Museum Inc.
0151,Washington County Historical Society
0152,Tunnel Hill Heritage Center & Museum
0153,Historic Westville
0154,Whitfield-Murray Historical Society
0155,Jepson Center
0156,Owens-Thomas House & Slave Quarters
0157,Brown House Museum
0158,Old City Cemetary
0159,Warthen Old Jail
0160,Charles E. Choate
0161,Washington County Courthouse
0162,Jefferson Davis’ Heritage Trail & Sherman’s March to the Sea Trail
0163,Hamburg State Park
0164,Thomas Jefferson Elder Community Center
0165,Sandersville School
0166,Fairmount City Library
0167,Newnan Carnegie
0168,Sayers Memorial Library
0169,Smyrna Public Library
0170,Athens-Clarke County Library
0171,Bogart Branch Library
0172,East Athens Community Resource Center
0173,Lavonia-Carnegie Library
0174,Lay Park Community Resource Center
0175,Madison County Library
0176,Oconee County Library
0177,Oglethorpe County Library
0178,Pinewoods Community Library and Education Center
0179,Royston Branch Library
0180,Winterville Library
0181,Adams Park Branch
0182,Adamsville-Collier Heights Branch
0183,Alpharetta Library
0184,Auburn Avenue Research Library
0185,Buckhead Branch
0186,Central Library (Atlanta-Fulton PLS)
0187,Cleveland Avenue Branch
0188,College Park Branch
0189,Dogwood Branch
0190,East Atlanta Branch
0191,East Point Branch
0192,East Roswell Branch
0193,Fairburn Branch
0194,Hapeville Branch
0195,Kirkwood Branch
0196,Martin Luther King Jr Branch
0197,Mechanicsville Branch
0198,Metropolitan Branch
