Name,Type[1],County[1],County 2,County 3,County 4,instance of,State
Acworth,city,Cobb County,,,,Q76514543,Georgia
Adairsville,city,Bartow County,,,,Q76514543,Georgia
Adel,city,Cook County,,,,Q76514543,Georgia
Adrian,city,Emanuel County,Johnson County,,,Q76514543,Georgia
Ailey,city,Montgomery County,,,,Q76514543,Georgia
Alapaha,town,Berrien County,,,,Q76514543,Georgia
Albany,city,Dougherty County,,,,Q76514543,Georgia
Aldora,town,Lamar County,,,,Q76514543,Georgia
Allenhurst,city,Liberty County,,,,Q76514543,Georgia
Allentown,town,Bleckley County,Laurens County,Twiggs County,Wilkinson County,Q76514543,Georgia
Alma,city,Bacon County,,,,Q76514543,Georgia
Alpharetta,city,Fulton County,,,,Q76514543,Georgia
Alston,town,Montgomery County,,,,Q76514543,Georgia
Alto,town,Banks County,Habersham County,,,Q76514543,Georgia
Ambrose,city,Coffee County,,,,Q76514543,Georgia
Americus,city,Sumter County,,,,Q76514543,Georgia
Andersonville,city,Sumter County,,,,Q76514543,Georgia
Arabi,town,Crisp County,,,,Q76514543,Georgia
Aragon,city,Polk County,,,,Q76514543,Georgia
Arcade,city,Jackson County,,,,Q76514543,Georgia
Argyle,town,Clinch County,,,,Q76514543,Georgia
Arlington,city,Calhoun County,Early County,,,Q76514543,Georgia
Arnoldsville,city,Oglethorpe County,,,,Q76514543,Georgia
Ashburn,city,Turner County,,,,Q76514543,Georgia
Athens,consolidated city-county,Clarke County,,,,Q76514543,Georgia
Atlanta,city,DeKalb County,Fulton County,,,Q76514543,Georgia
Attapulgus,city,Decatur County,,,,Q76514543,Georgia
Augusta,consolidated city-county,Richmond County,,,,Q76514543,Georgia
Austell,city,Cobb County,Douglas County,,,Q76514543,Georgia
Avalon,town,Stephens County,,,,Q76514543,Georgia
Avera,city,Jefferson County,,,,Q76514543,Georgia
Avondale Estates,city,DeKalb County,,,,Q76514543,Georgia
Baconton,city,Mitchell County,,,,Q76514543,Georgia
Baldwin,city,Banks County,Habersham County,,,Q76514543,Georgia
Ball Ground,city,Cherokee County,,,,Q76514543,Georgia
Barnesville,city,Lamar County,,,,Q76514543,Georgia
Bartow,town,Jefferson County,,,,Q76514543,Georgia
Barwick,city,Brooks County,Thomas County,,,Q76514543,Georgia
Bellville,city,Evans County,,,,Q76514543,Georgia
Berkeley Lake,city,Gwinnett County,,,,Q76514543,Georgia
Berlin,town,Colquitt County,,,,Q76514543,Georgia
Bethlehem,town,Barrow County,,,,Q76514543,Georgia
Between,town,Walton County,,,,Q76514543,Georgia
Bishop,town,Oconee County,,,,Q76514543,Georgia
Blairsville,city,Union County,,,,Q76514543,Georgia
Blakely,city,Early County,,,,Q76514543,Georgia
Bloomingdale,city,Chatham County,,,,Q76514543,Georgia
Blue Ridge,city,Fannin County,,,,Q76514543,Georgia
Bluffton,town,Clay County,,,,Q76514543,Georgia
Blythe,city,Burke County,Richmond County,,,Q76514543,Georgia
Bogart,town,Clarke County,Oconee County,,,Q76514543,Georgia
Bostwick,town,Morgan County,,,,Q76514543,Georgia
Bowdon,city,Carroll County,,,,Q76514543,Georgia
Bowersville,town,Hart County,,,,Q76514543,Georgia
Bowman,city,Elbert County,,,,Q76514543,Georgia
Braselton,town,Barrow County,Gwinnett County,Hall County,Jackson County,Q76514543,Georgia
Braswell,city,Paulding County,Polk County,,,Q76514543,Georgia
Bremen,city,Carroll County,Haralson County,,,Q76514543,Georgia
Brinson,town,Decatur County,,,,Q76514543,Georgia
Bronwood,town,Terrell County,,,,Q76514543,Georgia
Brookhaven,city,DeKalb County,,,,Q76514543,Georgia
Brooklet,city,Bulloch County,,,,Q76514543,Georgia
Brooks,town,Fayette County,,,,Q76514543,Georgia
Broxton,city,Coffee County,,,,Q76514543,Georgia
Buchanan,city,Haralson County,,,,Q76514543,Georgia
Buckhead,town,Morgan County,,,,Q76514543,Georgia
Buena Vista,city,Marion County,,,,Q76514543,Georgia
Buford,city,Gwinnett County,Hall County,,,Q76514543,Georgia
Butler,city,Taylor County,,,,Q76514543,Georgia
Byromville,town,Dooly County,,,,Q76514543,Georgia
Cadwell,town,Laurens County,,,,Q76514543,Georgia
Cairo,city,Grady County,,,,Q76514543,Georgia
Camak,town,Warren County,,,,Q76514543,Georgia
Camilla,city,Mitchell County,,,,Q76514543,Georgia
Canon,city,Franklin County,Hart County,,,Q76514543,Georgia
Carl,town,Barrow County,,,,Q76514543,Georgia
Carlton,city,Madison County,,,,Q76514543,Georgia
Carnesville,city,Franklin County,,,,Q76514543,Georgia
Carrollton,city,Carroll County,,,,Q76514543,Georgia
Cartersville,city,Bartow County,,,,Q76514543,Georgia
Cave Spring,city,Floyd County,,,,Q76514543,Georgia
Cecil,town,Cook County,,,,Q76514543,Georgia
Cedartown,city,Polk County,,,,Q76514543,Georgia
Centerville,city,Houston County,,,,Q76514543,Georgia
Centralhatchee,town,Heard County,,,,Q76514543,Georgia
Chamblee,city,DeKalb County,,,,Q76514543,Georgia
Chattahoochee Hills,city,Fulton County,,,,Q76514543,Georgia
Chauncey,city,Dodge County,,,,Q76514543,Georgia
Chester,town,Dodge County,,,,Q76514543,Georgia
Chickamauga,city,Walker County,,,,Q76514543,Georgia
Clarkesville,city,Habersham County,,,,Q76514543,Georgia
Clarkston,city,DeKalb County,,,,Q76514543,Georgia
Clayton,city,Rabun County,,,,Q76514543,Georgia
Clermont,town,Hall County,,,,Q76514543,Georgia
Cleveland,city,White County,,,,Q76514543,Georgia
Climax,city,Decatur County,,,,Q76514543,Georgia
Cobbtown,city,Tattnall County,,,,Q76514543,Georgia
Cochran,city,Bleckley County,,,,Q76514543,Georgia
Cohutta,town,Whitfield County,,,,Q76514543,Georgia
Colbert,city,Madison County,,,,Q76514543,Georgia
College Park,city,Clayton County,Fulton County,,,Q76514543,Georgia
Collins,city,Tattnall County,,,,Q76514543,Georgia
Columbus,consolidated city-county,Muscogee County,,,,Q76514543,Georgia
Comer,city,Madison County,,,,Q76514543,Georgia
Concord,town,Pike County,,,,Q76514543,Georgia
Conyers,city,Rockdale County,,,,Q76514543,Georgia
Cordele,city,Crisp County,,,,Q76514543,Georgia
Cornelia,city,Habersham County,,,,Q76514543,Georgia
Covington,city,Newton County,,,,Q76514543,Georgia
Crawford,city,Oglethorpe County,,,,Q76514543,Georgia
Crawfordville,city,Taliaferro County,,,,Q76514543,Georgia
Culloden,city,Monroe County,,,,Q76514543,Georgia
Cumming,city,Forsyth County,,,,Q76514543,Georgia
Cusseta,consolidated city-county,Chattahoochee County,,,,Q76514543,Georgia
Cuthbert,city,Randolph County,,,,Q76514543,Georgia
Dacula,city,Gwinnett County,,,,Q76514543,Georgia
Dahlonega,city,Lumpkin County,,,,Q76514543,Georgia
Daisy,city,Evans County,,,,Q76514543,Georgia
Dallas,city,Paulding County,,,,Q76514543,Georgia
Dalton,city,Whitfield County,,,,Q76514543,Georgia
Damascus,city,Early County,,,,Q76514543,Georgia
Danielsville,city,Madison County,,,,Q76514543,Georgia
Danville,town,Twiggs County,Wilkinson County,,,Q76514543,Georgia
Darien,city,McIntosh County,,,,Q76514543,Georgia
Dasher,town,Lowndes County,,,,Q76514543,Georgia
Davisboro,city,Washington County,,,,Q76514543,Georgia
Dawson,city,Terrell County,,,,Q76514543,Georgia
Dawsonville,city,Dawson County,,,,Q76514543,Georgia
Dearing,town,McDuffie County,,,,Q76514543,Georgia
Decatur,city,DeKalb County,,,,Q76514543,Georgia
