Name,Description,Alias,State,instance of
"Abba, Georgia","unincorporated community in Georgia, United States","Abba, Georgia",Georgia,unincorporated community
"Abernathys Mill, Georgia","unincorporated community in Georgia, United States","Abernathys Mill, Georgia",Georgia,unincorporated community
"Achord, Georgia","unincorporated community in Georgia, United States","Achord, Georgia",Georgia,unincorporated community
"Acree, Georgia","unincorporated community in Georgia, United States","Acree, Georgia",Georgia,unincorporated community
"Adabelle, Georgia","unincorporated community in Georgia, United States","Adabelle, Georgia",Georgia,unincorporated community
"Adasburg, Georgia","unincorporated community in Georgia, United States","Adasburg, Georgia",Georgia,unincorporated community
Adelaide,"unincorporated community in Georgia, United States","Adelaide, Georgia",Georgia,unincorporated community
"Adgateville, Georgia","unincorporated community in Georgia, United States","Adgateville, Georgia",Georgia,unincorporated community
"Aerial, Georgia","unincorporated community in Georgia, United States","Aerial, Georgia",Georgia,unincorporated community
Afton,"unincorporated community in Georgia, United States","Afton, Georgia",Georgia,unincorporated community
Agricola,"unincorporated community in Georgia, United States","Agricola, Georgia",Georgia,unincorporated community
Ai,"unincorporated community in Georgia, United States","Ai, Georgia",Georgia,unincorporated community
"Aikenton, Georgia","unincorporated community in Georgia, United States","Aikenton, Georgia",Georgia,unincorporated community
"Air Line, Georgia","unincorporated community in Georgia, United States","Air Line, Georgia",Georgia,unincorporated community
Akridge,"unincorporated community in Georgia, United States","Akridge, Georgia",Georgia,unincorporated community
"Alexander, Georgia","unincorporated community in Georgia, United States","Alexander, Georgia",Georgia,unincorporated community
"Allatoona, Georgia","unincorporated community in Georgia, United States","Allatoona, Georgia",Georgia,unincorporated community
Allendale,"unincorporated community in Georgia, United States","Allendale, Gwinnett County, Georgia",Georgia,unincorporated community
"Almon, Georgia","unincorporated community in Georgia, United States","Almon, Georgia",Georgia,unincorporated community
"Alpine, Georgia","unincorporated community in Georgia, United States","Alpine, Georgia",Georgia,unincorporated community
Alps,"unincorporated community in Georgia, United States","Alps, Georgia",Georgia,unincorporated community
"Altamaha Park, Georgia","unincorporated community in Georgia, United States","Altamaha Park, Georgia",Georgia,unincorporated community
Altamaha Place,"unincorporated community in Georgia, United States","Altamaha Place, Georgia",Georgia,unincorporated community
"Altamaha, Georgia","unincorporated community in Georgia, United States","Altamaha, Georgia",Georgia,unincorporated community
"Alvaton, Georgia","unincorporated community in Georgia, United States","Alvaton, Georgia",Georgia,unincorporated community
"Alvin, Georgia","unincorporated community in Georgia, United States","Alvin, Georgia",Georgia,unincorporated community
Amicalola,"unincorporated community in Georgia, United States","Amicalola, Georgia",Georgia,unincorporated community
"Amity, Georgia","unincorporated community in Georgia, United States","Amity, Georgia",Georgia,unincorporated community
"Amsterdam, Georgia","unincorporated community in Georgia, United States","Amsterdam, Georgia",Georgia,unincorporated community
Anna,"unincorporated community in Georgia, United States","Anna, Georgia",Georgia,unincorporated community
"Anniedelle, Georgia","unincorporated community in Georgia, United States","Anniedelle, Georgia",Georgia,unincorporated community
Antioch,"unincorporated community in Georgia, United States","Antioch, Polk County, Georgia",Georgia,unincorporated community
"Antioch, Troup County, Georgia","unincorporated community in Georgia, United States","Antioch, Troup County, Georgia",Georgia,unincorporated community
"Aonia, Georgia","unincorporated community in Georgia, United States","Aonia, Georgia",Georgia,unincorporated community
"Apalachee, Georgia","unincorporated community in Georgia, United States","Apalachee, Georgia",Georgia,unincorporated community
"Archery, Georgia","unincorporated community in Georgia, United States","Archery, Georgia",Georgia,unincorporated community
"Armuchee, Georgia","unincorporated community in Georgia, United States","Armuchee, Georgia",Georgia,unincorporated community
Arnco Mills,"unincorporated community in Georgia, United States","Arnco Mills, Georgia",Georgia,unincorporated community
"Arnold Mill, Georgia","unincorporated community in Georgia, United States","Arnold Mill, Georgia",Georgia,unincorporated community
"Arp, Georgia","unincorporated community in Georgia, United States","Arp, Georgia",Georgia,unincorporated community
"Ascalon, Georgia","unincorporated community in Georgia, United States","Ascalon, Georgia",Georgia,unincorporated community
"Ashton, Georgia","unincorporated community in Georgia, United States","Ashton, Georgia",Georgia,unincorporated community
"Aska, Georgia","unincorporated community in Georgia, United States","Aska, Georgia",Georgia,unincorporated community
Atco,"unincorporated community in Georgia, United States","Atco, Georgia",Georgia,unincorporated community
Audubon,"unincorporated community in Georgia, United States","Audubon, Georgia",Georgia,unincorporated community
"Ausmac, Georgia","unincorporated community in Georgia, United States","Ausmac, Georgia",Georgia,unincorporated community
"Autney, Georgia","unincorporated community in Georgia, United States","Autney, Georgia",Georgia,unincorporated community
"Autreyville, Georgia","unincorporated community in Georgia, United States","Autreyville, Georgia",Georgia,unincorporated community
Avondale,"unincorporated community in Georgia, United States","Avondale, Georgia",Georgia,unincorporated community
"Axson, Georgia","unincorporated community in Georgia, United States","Axson, Georgia",Georgia,unincorporated community
"Ayersville, Georgia","unincorporated community in Georgia, United States","Ayersville, Georgia",Georgia,unincorporated community
"Babcock, Georgia","unincorporated community in Georgia, United States","Babcock, Georgia",Georgia,unincorporated community
Bairdstown,"unincorporated community in Georgia, United States","Bairdstown, Georgia",Georgia,unincorporated community
"Baldwinville, Georgia","unincorporated community in Georgia, United States","Baldwinville, Georgia",Georgia,unincorporated community
"Banning, Georgia","unincorporated community in Georgia, United States","Banning, Georgia",Georgia,unincorporated community
Bannockburn,"unincorporated community in Georgia, United States","Bannockburn, Georgia",Georgia,unincorporated community
"Barbers, Georgia","unincorporated community in Georgia, United States","Barbers, Georgia",Georgia,unincorporated community
"Barney, Brooks County, Georgia","unincorporated community in Georgia, United States","Barney, Brooks County, Georgia",Georgia,unincorporated community
"Barney, Georgia","unincorporated community in Georgia, United States","Barney, Georgia",Georgia,unincorporated community
Barretts Mill,"unincorporated community in Georgia, United States","Barretts Mill, Georgia",Georgia,unincorporated community
Barrettsville,"unincorporated community in Georgia, United States","Barrettsville, Georgia",Georgia,unincorporated community
Barrons Lane,"unincorporated community in Georgia, United States","Barrons Lane, Georgia",Georgia,unincorporated community
Barrow Heights,"unincorporated community in Georgia, United States","Barrow Heights, Georgia",Georgia,unincorporated community
Bastonville,"unincorporated community in Georgia, United States","Bastonville, Georgia",Georgia,unincorporated community
"Batesville, Georgia","unincorporated community in Georgia, United States","Batesville, Georgia",Georgia,unincorporated community
"Bath, Georgia","unincorporated community in Georgia, United States","Bath, Georgia",Georgia,unincorporated community
"Baughville, Georgia","unincorporated community in Georgia, United States","Baughville, Georgia",Georgia,unincorporated community
Beachton,"unincorporated community in Georgia, United States","Beachton, Georgia",Georgia,unincorporated community
"Belfast, Georgia","unincorporated community in Georgia, United States","Belfast, Georgia",Georgia,unincorporated community
"Bellview, Georgia","unincorporated community in Georgia, United States","Bellview, Georgia",Georgia,unincorporated community
"Belmont, Georgia","unincorporated community in Georgia, United States","Belmont, Georgia",Georgia,unincorporated community
Belvedere Park,"unincorporated community in Georgia, United States","Belvedere Park, Georgia",Georgia,unincorporated community
"Benedict, Georgia","unincorporated community in Georgia, United States","Benedict, Georgia",Georgia,unincorporated community
"Benefit, Georgia","unincorporated community in Georgia, United States","Benefit, Georgia",Georgia,unincorporated community
"Berryton, Georgia","unincorporated community in Georgia, United States","Berryton, Georgia",Georgia,unincorporated community
Bethany,"unincorporated community in Georgia, United States","Bethany, Georgia",Georgia,unincorporated community
"Bethesda, Chatham County, Georgia","unincorporated community in Georgia, United States","Bethesda, Chatham County, Georgia",Georgia,unincorporated community
"Bethesda, Greene County, Georgia","unincorporated community in Georgia, United States","Bethesda, Greene County, Georgia",Georgia,unincorporated community
Beulah,"unincorporated community in Georgia, United States","Beulah, Georgia",Georgia,unincorporated community
"Beverly, Georgia","unincorporated community in Georgia, United States","Beverly, Georgia",Georgia,unincorporated community
Bibb City,"unincorporated community in Georgia, United States","Bibb City, Georgia",Georgia,unincorporated community
